=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   22.561 |   22.576 |   22.568 |   22.629 |   20.574 |   20.505 |   20.528 |   20.046 |   20.308 |   19.119 |   19.124 |   19.933 ||   +0.07   +0.03   +0.30   -8.81   -9.12   -9.01  -11.15   -9.99  -15.26  -15.24  -11.65
B    |   51.804 |   51.760 |   51.832 |   51.844 |   50.199 |   50.218 |   50.231 |   49.948 |   50.124 |   49.126 |   49.275 |   49.871 ||   -0.08   +0.05   +0.08   -3.10   -3.06   -3.04   -3.58   -3.24   -5.17   -4.88   -3.73
C    |   31.692 |   31.775 |   31.682 |   31.714 |   30.303 |   30.226 |   30.161 |   29.897 |   29.877 |   29.449 |   29.422 |   29.911 ||   +0.26   -0.03   +0.07   -4.38   -4.63   -4.83   -5.66   -5.73   -7.08   -7.16   -5.62
D    |   19.970 |   19.965 |   20.017 |   20.005 |   14.954 |   14.955 |   15.235 |   11.663 |   14.942 |   10.920 |   10.926 |   10.964 ||   -0.03   +0.23   +0.17  -25.12  -25.11  -23.71  -41.60  -25.18  -45.32  -45.29  -45.10
E    |   21.022 |   21.031 |   21.032 |   21.065 |   14.954 |   14.952 |   15.232 |   13.699 |   14.956 |   12.053 |   12.031 |   12.734 ||   +0.04   +0.05   +0.21  -28.86  -28.88  -27.54  -34.83  -28.86  -42.66  -42.77  -39.43
F    |   21.958 |   21.996 |   22.014 |   22.019 |   19.922 |   19.908 |   20.000 |   19.631 |   18.556 |   17.822 |   18.818 |   20.797 ||   +0.17   +0.25   +0.28   -9.27   -9.34   -8.92  -10.60  -15.50  -18.84  -14.30   -5.29
R1   |   22.060 |   22.062 |   22.133 |   22.088 |   22.128 |   22.112 |   22.135 |   22.101 |   22.251 |   22.243 |   22.122 |   23.812 ||   +0.01   +0.33   +0.13   +0.31   +0.24   +0.34   +0.18   +0.87   +0.83   +0.28   +7.94
R2   |   21.841 |   21.828 |   21.909 |   21.861 |   21.908 |   21.913 |   21.909 |   21.859 |   21.656 |   21.641 |   21.915 |   24.031 ||   -0.06   +0.31   +0.09   +0.31   +0.33   +0.31   +0.08   -0.85   -0.92   +0.34  +10.03
R3   |   21.750 |   21.738 |   21.792 |   21.767 |   21.796 |   21.796 |   21.791 |   21.759 |   21.228 |   21.220 |   21.797 |   24.079 ||   -0.06   +0.19   +0.07   +0.21   +0.21   +0.19   +0.04   -2.40   -2.44   +0.21  +10.71
R4   |   21.687 |   21.678 |   21.732 |   21.706 |   21.727 |   21.727 |   21.722 |   21.704 |   20.993 |   20.981 |   21.724 |   24.112 ||   -0.04   +0.21   +0.08   +0.18   +0.18   +0.16   +0.08   -3.20   -3.26   +0.17  +11.18
R6   |   21.599 |   21.601 |   21.639 |   21.626 |   21.637 |   21.633 |   21.638 |   21.625 |   20.524 |   20.514 |   21.640 |   24.190 ||   +0.01   +0.19   +0.13   +0.18   +0.16   +0.18   +0.12   -4.97   -5.02   +0.19  +12.00
=== process order1.3
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   22.575 |   22.598 |   22.557 |   22.632 |   20.595 |   20.546 |   20.519 |   20.076 |   20.325 |   19.093 |   19.141 |   19.943 ||   +0.10   -0.08   +0.25   -8.77   -8.99   -9.11  -11.07   -9.97  -15.42  -15.21  -11.66
B    |   51.784 |   51.827 |   51.871 |   51.850 |   50.213 |   50.219 |   50.242 |   49.898 |   50.112 |   49.140 |   49.278 |   49.858 ||   +0.08   +0.17   +0.13   -3.03   -3.02   -2.98   -3.64   -3.23   -5.11   -4.84   -3.72
C    |   31.712 |   31.804 |   31.670 |   31.742 |   30.332 |   30.237 |   30.169 |   29.838 |   29.883 |   29.463 |   29.468 |   29.927 ||   +0.29   -0.13   +0.09   -4.35   -4.65   -4.87   -5.91   -5.77   -7.09   -7.08   -5.63
D    |   19.970 |   19.968 |   20.019 |   19.996 |   14.944 |   14.949 |   15.236 |   11.677 |   14.940 |   10.918 |   10.923 |   10.964 ||   -0.01   +0.25   +0.13  -25.16  -25.14  -23.70  -41.53  -25.18  -45.33  -45.30  -45.10
E    |   21.021 |   21.038 |   21.031 |   21.062 |   14.952 |   14.951 |   15.234 |   13.701 |   14.951 |   12.054 |   12.016 |   12.732 ||   +0.08   +0.05   +0.19  -28.87  -28.88  -27.53  -34.82  -28.88  -42.66  -42.84  -39.43
F    |   21.972 |   21.984 |   21.997 |   22.014 |   19.924 |   19.910 |   19.999 |   19.597 |   18.557 |   17.861 |   18.837 |   20.787 ||   +0.05   +0.11   +0.19   -9.32   -9.39   -8.98  -10.81  -15.54  -18.71  -14.27   -5.39
R1   |   22.054 |   22.066 |   22.123 |   22.094 |   22.123 |   22.118 |   22.113 |   22.078 |   22.244 |   22.229 |   22.111 |   23.800 ||   +0.05   +0.31   +0.18   +0.31   +0.29   +0.27   +0.11   +0.86   +0.79   +0.26   +7.92
R2   |   21.840 |   21.831 |   21.911 |   21.856 |   21.907 |   21.918 |   21.903 |   21.859 |   21.622 |   21.655 |   21.907 |   24.029 ||   -0.04   +0.32   +0.07   +0.31   +0.36   +0.29   +0.09   -1.00   -0.85   +0.31  +10.02
R3   |   21.747 |   21.733 |   21.797 |   21.758 |   21.795 |   21.794 |   21.789 |   21.757 |   21.219 |   21.223 |   21.797 |   24.076 ||   -0.07   +0.23   +0.05   +0.22   +0.21   +0.19   +0.05   -2.43   -2.41   +0.23  +10.71
R4   |   21.677 |   21.678 |   21.731 |   21.703 |   21.725 |   21.729 |   21.720 |   21.703 |   20.991 |   20.984 |   21.721 |   24.118 ||   +0.01   +0.25   +0.12   +0.22   +0.24   +0.20   +0.12   -3.16   -3.20   +0.20  +11.26
R6   |   21.607 |   21.605 |   21.635 |   21.624 |   21.635 |   21.636 |   21.637 |   21.614 |   20.524 |   20.507 |   21.637 |   24.186 ||   -0.01   +0.13   +0.08   +0.13   +0.14   +0.14   +0.03   -5.01   -5.09   +0.14  +11.94
=== process order2.1
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   22.605 |   19.959 |   19.223 |   19.252 |   20.429 |   20.039 |   20.458 |   20.428 |   20.405 |   22.578 |   22.593 |   22.578 ||  -11.71  -14.96  -14.84   -9.63  -11.35   -9.50   -9.63   -9.73   -0.12   -0.06   -0.12
B    |   51.789 |   49.868 |   49.285 |   49.255 |   50.154 |   49.932 |   50.169 |   50.148 |   50.149 |   51.820 |   51.833 |   51.790 ||   -3.71   -4.84   -4.89   -3.16   -3.58   -3.13   -3.17   -3.17   +0.06   +0.09   +0.00
C    |   31.714 |   29.783 |   29.753 |   29.548 |   30.182 |   30.168 |   30.217 |   30.184 |   30.196 |   31.752 |   31.728 |   31.755 ||   -6.09   -6.18   -6.83   -4.83   -4.87   -4.72   -4.82   -4.79   +0.12   +0.04   +0.13
D    |   19.969 |   10.963 |   10.920 |   10.921 |   14.964 |   11.718 |   15.238 |   14.951 |   14.948 |   20.053 |   19.971 |   19.968 ||  -45.10  -45.32  -45.31  -25.06  -41.32  -23.70  -25.13  -25.15   +0.42   +0.01   -0.01
E    |   21.038 |   12.706 |   12.067 |   12.048 |   14.962 |   13.685 |   15.231 |   14.953 |   14.952 |   21.031 |   21.077 |   21.044 ||  -39.60  -42.64  -42.73  -28.88  -34.95  -27.61  -28.92  -28.93   -0.04   +0.18   +0.03
F    |   21.955 |   20.745 |   18.762 |   17.994 |   18.536 |   19.614 |   19.964 |   19.926 |   19.918 |   22.017 |   22.013 |   21.974 ||   -5.51  -14.54  -18.04  -15.57  -10.66   -9.07   -9.24   -9.28   +0.28   +0.26   +0.09
R1   |   22.068 |   23.801 |   22.105 |   22.256 |   22.228 |   22.087 |   22.091 |   22.117 |   22.139 |   22.138 |   22.100 |   22.032 ||   +7.86   +0.17   +0.86   +0.73   +0.09   +0.11   +0.22   +0.32   +0.32   +0.15   -0.16
R2   |   21.841 |   24.028 |   21.861 |   21.621 |   21.612 |   21.855 |   21.874 |   21.905 |   21.926 |   21.907 |   21.878 |   21.826 ||  +10.02   +0.09   -1.01   -1.05   +0.07   +0.15   +0.30   +0.39   +0.31   +0.17   -0.07
R3   |   21.740 |   24.085 |   21.773 |   21.216 |   21.207 |   21.764 |   21.765 |   21.799 |   21.809 |   21.796 |   21.766 |   21.736 ||  +10.79   +0.15   -2.41   -2.45   +0.11   +0.11   +0.27   +0.32   +0.26   +0.12   -0.02
R4   |   21.681 |   24.124 |   21.711 |   20.988 |   20.978 |   21.705 |   21.710 |   21.731 |   21.739 |   21.734 |   21.708 |   21.681 ||  +11.27   +0.14   -3.20   -3.24   +0.11   +0.13   +0.23   +0.27   +0.24   +0.12   -0.00
R6   |   21.599 |   24.184 |   21.623 |   20.523 |   20.506 |   21.625 |   21.629 |   21.631 |   21.641 |   21.635 |   21.622 |   21.604 ||  +11.97   +0.11   -4.98   -5.06   +0.12   +0.14   +0.15   +0.20   +0.17   +0.11   +0.02
=== process order2.2
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   22.622 |   19.985 |   19.200 |   19.178 |   20.469 |   20.025 |   20.445 |   20.423 |   20.395 |   22.587 |   22.595 |   22.581 ||  -11.65  -15.13  -15.22   -9.52  -11.48   -9.62   -9.72   -9.84   -0.15   -0.12   -0.18
B    |   51.834 |   49.842 |   49.288 |   49.202 |   50.174 |   49.913 |   50.176 |   50.138 |   50.153 |   51.839 |   51.821 |   51.799 ||   -3.84   -4.91   -5.08   -3.20   -3.70   -3.20   -3.27   -3.24   +0.01   -0.02   -0.07
C    |   31.748 |   29.819 |   29.722 |   29.553 |   30.156 |   30.158 |   30.179 |   30.188 |   30.139 |   31.753 |   31.701 |   31.709 ||   -6.08   -6.38   -6.91   -5.01   -5.01   -4.94   -4.92   -5.07   +0.01   -0.15   -0.12
D    |   19.968 |   10.963 |   10.921 |   10.921 |   14.963 |   11.705 |   15.233 |   14.951 |   14.952 |   20.057 |   19.972 |   19.969 ||  -45.10  -45.31  -45.31  -25.06  -41.38  -23.71  -25.12  -25.12   +0.45   +0.02   +0.01
E    |   21.012 |   12.707 |   12.044 |   12.053 |   14.964 |   13.684 |   15.232 |   14.955 |   14.943 |   21.048 |   21.070 |   21.026 ||  -39.52  -42.68  -42.64  -28.78  -34.87  -27.51  -28.82  -28.88   +0.18   +0.28   +0.07
F    |   21.977 |   20.763 |   18.743 |   18.001 |   18.496 |   19.608 |   19.954 |   19.921 |   19.919 |   22.032 |   22.014 |   21.964 ||   -5.52  -14.72  -18.09  -15.84  -10.78   -9.21   -9.35   -9.37   +0.25   +0.17   -0.06
R1   |   22.069 |   23.808 |   22.108 |   22.246 |   22.240 |   22.086 |   22.081 |   22.112 |   22.138 |   22.132 |   22.097 |   22.042 ||   +7.88   +0.18   +0.80   +0.77   +0.08   +0.05   +0.19   +0.31   +0.29   +0.13   -0.12
R2   |   21.842 |   24.027 |   21.861 |   21.635 |   21.633 |   21.857 |   21.871 |   21.903 |   21.920 |   21.911 |   21.875 |   21.823 ||  +10.00   +0.09   -0.94   -0.96   +0.07   +0.13   +0.28   +0.36   +0.32   +0.15   -0.08
R3   |   21.749 |   24.083 |   21.769 |   21.218 |   21.207 |   21.765 |   21.769 |   21.797 |   21.805 |   21.799 |   21.764 |   21.729 ||  +10.73   +0.09   -2.44   -2.49   +0.07   +0.09   +0.22   +0.26   +0.23   +0.07   -0.09
R4   |   21.677 |   24.119 |   21.715 |   20.988 |   20.977 |   21.706 |   21.705 |   21.726 |   21.734 |   21.728 |   21.710 |   21.682 ||  +11.26   +0.18   -3.18   -3.23   +0.13   +0.13   +0.22   +0.26   +0.23   +0.15   +0.02
R6   |   21.601 |   24.181 |   21.627 |   20.522 |   20.507 |   21.620 |   21.622 |   21.634 |   21.644 |   21.627 |   21.626 |   21.605 ||  +11.94   +0.12   -5.00   -5.07   +0.08   +0.09   +0.15   +0.20   +0.12   +0.11   +0.02
=== process order2.3
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   22.586 |   19.995 |   19.177 |   19.216 |   20.441 |   20.042 |   20.450 |   20.422 |   20.398 |   22.573 |   22.617 |   22.562 ||  -11.48  -15.09  -14.92   -9.50  -11.26   -9.46   -9.58   -9.69   -0.06   +0.14   -0.11
B    |   51.835 |   49.847 |   49.305 |   49.177 |   50.183 |   49.921 |   50.166 |   50.170 |   50.174 |   51.838 |   51.766 |   51.754 ||   -3.83   -4.88   -5.13   -3.19   -3.69   -3.22   -3.21   -3.20   +0.01   -0.13   -0.16
C    |   31.727 |   29.751 |   29.720 |   29.529 |   30.182 |   30.198 |   30.199 |   30.197 |   30.121 |   31.760 |   31.764 |   31.721 ||   -6.23   -6.33   -6.93   -4.87   -4.82   -4.82   -4.82   -5.06   +0.11   +0.12   -0.02
D    |   19.978 |   10.964 |   10.923 |   10.920 |   14.961 |   11.722 |   15.234 |   14.955 |   14.952 |   20.056 |   19.979 |   19.963 ||  -45.12  -45.32  -45.34  -25.11  -41.32  -23.75  -25.14  -25.16   +0.39   +0.00   -0.08
E    |   21.033 |   12.712 |   12.069 |   12.041 |   14.960 |   13.659 |   15.229 |   14.955 |   14.949 |   21.017 |   21.053 |   21.033 ||  -39.56  -42.62  -42.75  -28.87  -35.06  -27.60  -28.90  -28.93   -0.08   +0.09   +0.00
F    |   21.978 |   20.770 |   18.735 |   17.995 |   18.528 |   19.599 |   19.958 |   19.918 |   19.930 |   22.026 |   22.024 |   21.958 ||   -5.50  -14.76  -18.12  -15.70  -10.83   -9.19   -9.37   -9.32   +0.22   +0.21   -0.09
R1   |   22.061 |   23.810 |   22.104 |   22.273 |   22.245 |   22.085 |   22.089 |   22.113 |   22.129 |   22.140 |   22.095 |   22.050 ||   +7.93   +0.19   +0.96   +0.83   +0.11   +0.13   +0.24   +0.31   +0.36   +0.15   -0.05
R2   |   21.834 |   24.034 |   21.867 |   21.631 |   21.635 |   21.861 |   21.867 |   21.908 |   21.920 |   21.913 |   21.862 |   21.841 ||  +10.08   +0.15   -0.93   -0.91   +0.13   +0.15   +0.34   +0.39   +0.37   +0.13   +0.03
R3   |   21.734 |   24.083 |   21.766 |   21.219 |   21.203 |   21.759 |   21.770 |   21.803 |   21.805 |   21.796 |   21.766 |   21.740 ||  +10.81   +0.15   -2.37   -2.44   +0.11   +0.16   +0.32   +0.33   +0.28   +0.14   +0.02
R4   |   21.683 |   24.116 |   21.712 |   20.981 |   20.976 |   21.705 |   21.707 |   21.723 |   21.742 |   21.731 |   21.703 |   21.688 ||  +11.22   +0.13   -3.24   -3.26   +0.10   +0.11   +0.19   +0.27   +0.22   +0.09   +0.02
R6   |   21.602 |   24.186 |   21.621 |   20.516 |   20.504 |   21.622 |   21.627 |   21.633 |   21.642 |   21.633 |   21.621 |   21.606 ||  +11.96   +0.09   -5.02   -5.08   +0.09   +0.12   +0.15   +0.19   +0.15   +0.09   +0.02
=== process order3.1
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   22.549 |   20.469 |   20.097 |   22.616 |   19.108 |   22.619 |   19.865 |   20.527 |   22.581 |   19.113 |   20.442 |   20.431 ||   -9.22  -10.87   +0.30  -15.26   +0.31  -11.90   -8.97   +0.14  -15.24   -9.34   -9.39
B    |   51.832 |   50.187 |   49.950 |   51.875 |   49.144 |   51.837 |   49.773 |   50.183 |   51.856 |   49.182 |   50.167 |   50.156 ||   -3.17   -3.63   +0.08   -5.19   +0.01   -3.97   -3.18   +0.05   -5.11   -3.21   -3.23
C    |   31.778 |   30.053 |   29.912 |   31.713 |   29.419 |   31.697 |   29.799 |   30.276 |   32.012 |   29.498 |   30.168 |   30.170 ||   -5.43   -5.87   -0.21   -7.42   -0.26   -6.23   -4.73   +0.74   -7.17   -5.06   -5.06
D    |   19.971 |   15.230 |   11.660 |   19.962 |   10.918 |   19.992 |   10.965 |   14.951 |   20.026 |   10.914 |   14.966 |   14.955 ||  -23.74  -41.61   -0.04  -45.33   +0.10  -45.10  -25.14   +0.28  -45.35  -25.06  -25.12
E    |   21.015 |   15.230 |   13.701 |   21.002 |   12.026 |   21.083 |   12.611 |   14.955 |   21.014 |   12.033 |   14.972 |   14.951 ||  -27.53  -34.80   -0.06  -42.77   +0.33  -39.99  -28.84   -0.00  -42.74  -28.75  -28.85
F    |   21.969 |   19.961 |   19.628 |   21.985 |   17.845 |   22.033 |   20.650 |   19.929 |   22.010 |   18.753 |   18.536 |   19.938 ||   -9.14  -10.66   +0.07  -18.77   +0.29   -6.00   -9.29   +0.19  -14.64  -15.63   -9.25
R1   |   22.057 |   22.093 |   22.114 |   22.061 |   22.258 |   22.098 |   23.815 |   22.117 |   22.105 |   22.090 |   22.217 |   22.086 ||   +0.16   +0.26   +0.02   +0.91   +0.19   +7.97   +0.27   +0.22   +0.15   +0.73   +0.13
R2   |   21.835 |   21.869 |   21.901 |   21.839 |   21.656 |   21.855 |   24.046 |   21.904 |   21.907 |   21.861 |   21.639 |   21.870 ||   +0.16   +0.30   +0.02   -0.82   +0.09  +10.13   +0.32   +0.33   +0.12   -0.89   +0.16
R3   |   21.744 |   21.770 |   21.798 |   21.728 |   21.249 |   21.772 |   24.094 |   21.792 |   21.798 |   21.760 |   21.210 |   21.769 ||   +0.12   +0.25   -0.07   -2.28   +0.13  +10.81   +0.22   +0.25   +0.07   -2.46   +0.12
R4   |   21.687 |   21.700 |   21.734 |   21.675 |   20.996 |   21.707 |   24.134 |   21.729 |   21.728 |   21.709 |   20.966 |   21.707 ||   +0.06   +0.22   -0.06   -3.19   +0.09  +11.28   +0.20   +0.19   +0.10   -3.32   +0.09
R6   |   21.603 |   21.627 |   21.636 |   21.602 |   20.519 |   21.628 |   24.205 |   21.637 |   21.637 |   21.630 |   20.513 |   21.622 ||   +0.11   +0.15   -0.00   -5.02   +0.12  +12.05   +0.16   +0.16   +0.13   -5.04   +0.09
=== process order3.2
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   22.604 |   20.506 |   20.189 |   22.631 |   19.103 |   22.596 |   19.880 |   20.519 |   22.562 |   19.092 |   20.473 |   20.439 ||   -9.28  -10.68   +0.12  -15.49   -0.03  -12.05   -9.22   -0.18  -15.53   -9.43   -9.58
B    |   51.809 |   50.194 |   49.978 |   51.863 |   49.170 |   51.823 |   49.729 |   50.197 |   51.862 |   49.142 |   50.172 |   50.132 ||   -3.12   -3.53   +0.10   -5.09   +0.03   -4.02   -3.11   +0.10   -5.15   -3.16   -3.24
C    |   31.774 |   30.064 |   29.943 |   31.729 |   29.475 |   31.725 |   29.752 |   30.302 |   31.953 |   29.531 |   30.164 |   30.218 ||   -5.38   -5.76   -0.14   -7.23   -0.15   -6.36   -4.63   +0.57   -7.06   -5.06   -4.90
D    |   19.961 |   15.229 |   11.676 |   19.961 |   10.920 |   20.005 |   10.965 |   14.959 |   20.021 |   10.920 |   14.962 |   14.940 ||  -23.71  -41.51   +0.00  -45.30   +0.22  -45.07  -25.06   +0.30  -45.29  -25.04  -25.15
E    |   20.999 |   15.231 |   13.676 |   20.983 |   12.031 |   21.077 |   12.617 |   14.950 |   21.019 |   12.023 |   14.967 |   14.949 ||  -27.47  -34.87   -0.08  -42.71   +0.37  -39.92  -28.81   +0.09  -42.75  -28.73  -28.81
F    |   21.971 |   19.973 |   19.626 |   21.985 |   17.834 |   22.053 |   20.651 |   19.927 |   22.019 |   18.737 |   18.545 |   19.941 ||   -9.09  -10.68   +0.06  -18.83   +0.37   -6.01   -9.31   +0.22  -14.72  -15.60   -9.24
R1   |   22.061 |   22.093 |   22.115 |   22.051 |   22.282 |   22.088 |   23.806 |   22.115 |   22.113 |   22.094 |   22.221 |   22.096 ||   +0.15   +0.24   -0.04   +1.00   +0.13   +7.91   +0.25   +0.24   +0.15   +0.73   +0.16
R2   |   21.848 |   21.860 |   21.905 |   21.844 |   21.647 |   21.862 |   24.030 |   21.900 |   21.893 |   21.859 |   21.629 |   21.869 ||   +0.06   +0.26   -0.02   -0.92   +0.06   +9.99   +0.24   +0.21   +0.05   -1.00   +0.10
R3   |   21.744 |   21.764 |   21.795 |   21.734 |   21.245 |   21.771 |   24.103 |   21.793 |   21.800 |   21.770 |   21.211 |   21.766 ||   +0.09   +0.23   -0.05   -2.30   +0.12  +10.85   +0.23   +0.26   +0.12   -2.45   +0.10
R4   |   21.685 |   21.704 |   21.728 |   21.676 |   20.993 |   21.706 |   24.134 |   21.729 |   21.723 |   21.709 |   20.967 |   21.708 ||   +0.09   +0.20   -0.04   -3.19   +0.10  +11.29   +0.20   +0.18   +0.11   -3.31   +0.11
R6   |   21.604 |   21.626 |   21.637 |   21.601 |   20.522 |   21.625 |   24.192 |   21.638 |   21.634 |   21.631 |   20.512 |   21.619 ||   +0.11   +0.16   -0.01   -5.01   +0.10  +11.98   +0.16   +0.14   +0.13   -5.05   +0.07
=== process order3.3
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   22.562 |   20.491 |   20.116 |   22.624 |   19.124 |   22.603 |   19.880 |   20.521 |   22.555 |   19.115 |   20.427 |   20.465 ||   -9.18  -10.84   +0.27  -15.24   +0.18  -11.89   -9.05   -0.03  -15.28   -9.46   -9.29
B    |   51.844 |   50.197 |   50.004 |   51.850 |   49.161 |   51.803 |   49.784 |   50.165 |   51.841 |   49.195 |   50.156 |   50.167 ||   -3.18   -3.55   +0.01   -5.17   -0.08   -3.97   -3.24   -0.01   -5.11   -3.25   -3.23
C    |   31.722 |   30.086 |   29.971 |   31.754 |   29.449 |   31.750 |   29.792 |   30.290 |   32.028 |   29.547 |   30.173 |   30.212 ||   -5.16   -5.52   +0.10   -7.17   +0.09   -6.08   -4.52   +0.96   -6.86   -4.88   -4.76
D    |   19.963 |   15.229 |   11.665 |   19.967 |   10.920 |   20.003 |   10.965 |   14.949 |   20.014 |   10.918 |   14.963 |   14.952 ||  -23.72  -41.57   +0.02  -45.30   +0.20  -45.07  -25.12   +0.25  -45.31  -25.05  -25.10
E    |   21.005 |   15.231 |   13.712 |   20.994 |   12.038 |   21.088 |   12.609 |   14.952 |   21.039 |   12.030 |   14.964 |   14.947 ||  -27.49  -34.72   -0.05  -42.69   +0.39  -39.97  -28.82   +0.17  -42.73  -28.76  -28.84
F    |   21.974 |   19.948 |   19.647 |   21.975 |   17.816 |   22.037 |   20.647 |   19.920 |   22.006 |   18.768 |   18.536 |   19.946 ||   -9.22  -10.59   +0.00  -18.92   +0.29   -6.04   -9.35   +0.14  -14.59  -15.65   -9.23
