=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
R1   |   27.421 |   28.847 |   27.319 |   26.087 |   26.212 |   27.270 |   27.230 |   27.209 |   27.177 |   27.182 |   27.315 |   27.226 ||   +5.20   -0.37   -4.87   -4.41   -0.55   -0.70   -0.77   -0.89   -0.87   -0.39   -0.71
R2   |   26.895 |   29.322 |   26.819 |   25.294 |   25.463 |   26.847 |   26.793 |   26.807 |   26.721 |   26.709 |   26.895 |   26.850 ||   +9.02   -0.29   -5.95   -5.32   -0.18   -0.38   -0.33   -0.65   -0.69   -0.00   -0.17
R3   |   26.598 |   29.473 |   26.559 |   24.809 |   24.909 |   26.549 |   26.545 |   26.524 |   26.467 |   26.444 |   26.628 |   26.593 ||  +10.81   -0.15   -6.73   -6.35   -0.19   -0.20   -0.28   -0.49   -0.58   +0.11   -0.02
R4   |   26.439 |   29.592 |   26.385 |   24.517 |   24.687 |   26.361 |   26.371 |   26.311 |   26.307 |   26.307 |   26.418 |   26.431 ||  +11.92   -0.21   -7.27   -6.63   -0.30   -0.26   -0.49   -0.50   -0.50   -0.08   -0.03
R6   |   26.117 |   30.879 |   26.088 |   23.963 |   24.119 |   26.143 |   26.141 |   26.101 |   26.074 |   26.094 |   26.190 |   26.018 ||  +18.24   -0.11   -8.25   -7.65   +0.10   +0.09   -0.06   -0.16   -0.09   +0.28   -0.38
=== process order2.2
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   28.596 |   24.584 |   23.905 |   24.326 |   24.497 |   24.833 |   24.701 |   24.623 |   24.620 |   28.663 |   28.482 |   28.559 ||  -14.03  -16.40  -14.93  -14.33  -13.16  -13.62  -13.89  -13.90   +0.24   -0.40   -0.13
B    |   61.949 |   59.389 |   59.012 |   59.063 |   59.948 |   59.683 |   59.471 |   59.391 |   59.385 |   61.955 |   62.033 |   61.904 ||   -4.13   -4.74   -4.66   -3.23   -3.66   -4.00   -4.13   -4.14   +0.01   +0.14   -0.07
C    |   38.008 |   36.099 |   36.078 |   35.957 |   36.291 |   36.493 |   36.250 |   36.328 |   36.198 |   38.082 |   38.279 |   38.058 ||   -5.02   -5.08   -5.40   -4.52   -3.99   -4.63   -4.42   -4.76   +0.19   +0.71   +0.13
