=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   33.068 |   33.186 |   33.307 |   33.083 |   29.875 |   29.973 |   30.091 |   30.276 |   29.850 |   29.157 |   28.721 |   31.134 ||   +0.36   +0.72   +0.05   -9.65   -9.36   -9.00   -8.44   -9.73  -11.83  -13.14   -5.85
B    |   70.375 |   70.680 |   70.673 |   70.259 |   67.907 |   67.926 |   67.890 |   68.269 |   68.134 |   67.809 |   67.051 |   69.096 ||   +0.43   +0.42   -0.17   -3.51   -3.48   -3.53   -2.99   -3.19   -3.65   -4.72   -1.82
C    |   47.101 |   46.854 |   47.092 |   47.052 |   45.000 |   45.165 |   45.253 |   45.094 |   44.993 |   44.380 |   44.501 |   45.219 ||   -0.52   -0.02   -0.10   -4.46   -4.11   -3.92   -4.26   -4.48   -5.78   -5.52   -3.99
D    |   28.200 |   28.168 |   28.417 |   28.386 |   20.868 |   20.910 |   21.285 |   17.553 |   21.049 |   14.540 |   14.507 |   15.149 ||   -0.11   +0.77   +0.66  -26.00  -25.85  -24.52  -37.76  -25.36  -48.44  -48.56  -46.28
E    |   30.366 |   30.452 |   30.386 |   30.282 |   20.995 |   20.999 |   21.286 |   21.138 |   21.060 |   18.601 |   18.416 |   20.937 ||   +0.28   +0.07   -0.28  -30.86  -30.85  -29.90  -30.39  -30.65  -38.74  -39.35  -31.05
F    |   32.516 |   32.454 |   32.566 |   32.831 |   28.738 |   28.882 |   28.938 |   29.136 |   26.681 |   26.414 |   27.826 |   33.037 ||   -0.19   +0.16   +0.97  -11.62  -11.17  -11.00  -10.40  -17.94  -18.77  -14.42   +1.60
R1   |   32.661 |   32.722 |   32.723 |   33.099 |   32.781 |   32.808 |   32.799 |   33.056 |   33.156 |   33.115 |   32.822 |   35.462 ||   +0.19   +0.19   +1.34   +0.37   +0.45   +0.42   +1.21   +1.52   +1.39   +0.49   +8.58
R2   |   32.587 |   32.378 |   32.894 |   33.366 |   32.805 |   32.739 |   32.803 |   33.346 |   30.485 |   31.223 |   31.987 |   36.175 ||   -0.64   +0.94   +2.39   +0.67   +0.47   +0.66   +2.33   -6.45   -4.18   -1.84  +11.01
R3   |   32.917 |   32.354 |   33.027 |   33.046 |   32.564 |   32.815 |   32.789 |   33.548 |   29.765 |   30.169 |   31.441 |   36.288 ||   -1.71   +0.34   +0.39   -1.07   -0.31   -0.39   +1.92   -9.57   -8.35   -4.48  +10.24
R4   |   32.977 |   31.298 |   31.330 |   31.073 |   31.273 |   31.280 |   31.254 |   31.024 |   29.359 |   29.518 |   31.250 |   36.370 ||   -5.09   -4.99   -5.77   -5.17   -5.15   -5.22   -5.92  -10.97  -10.49   -5.24  +10.29
R6   |   30.778 |   30.958 |   30.938 |   30.710 |   30.943 |   30.887 |   30.911 |   30.673 |   28.599 |   28.922 |   30.934 |   36.425 ||   +0.58   +0.52   -0.22   +0.54   +0.36   +0.43   -0.34   -7.08   -6.03   +0.51  +18.35
=== process order1.3
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   33.101 |   33.212 |   33.307 |   33.038 |   29.922 |   29.959 |   30.024 |   30.262 |   29.840 |   29.137 |   28.764 |   31.084 ||   +0.34   +0.62   -0.19   -9.60   -9.49   -9.30   -8.58   -9.85  -11.97  -13.10   -6.09
B    |   70.621 |   70.734 |   70.639 |   70.264 |   67.824 |   67.752 |   67.794 |   68.174 |   68.038 |   67.835 |   67.000 |   69.107 ||   +0.16   +0.02   -0.51   -3.96   -4.06   -4.00   -3.47   -3.66   -3.95   -5.13   -2.14
C    |   46.905 |   46.810 |   47.046 |   46.890 |   44.914 |   45.034 |   45.092 |   44.979 |   44.850 |   44.278 |   44.350 |   45.078 ||   -0.20   +0.30   -0.03   -4.24   -3.99   -3.87   -4.11   -4.38   -5.60   -5.45   -3.89
D    |   28.153 |   28.114 |   28.371 |   28.236 |   21.000 |   20.986 |   21.290 |   17.558 |   21.050 |   14.560 |   14.505 |   15.192 ||   -0.14   +0.77   +0.30  -25.41  -25.46  -24.38  -37.63  -25.23  -48.28  -48.48  -46.04
E    |   30.390 |   30.356 |   30.426 |   30.186 |   20.991 |   21.000 |   21.273 |   21.167 |   21.052 |   18.689 |   18.391 |   21.025 ||   -0.11   +0.12   -0.67  -30.93  -30.90  -30.00  -30.35  -30.73  -38.50  -39.49  -30.82
F    |   32.402 |   32.350 |   32.474 |   32.670 |   28.621 |   28.788 |   28.830 |   29.073 |   26.739 |   26.456 |   27.703 |   33.112 ||   -0.16   +0.22   +0.83  -11.67  -11.15  -11.02  -10.28  -17.48  -18.35  -14.50   +2.19
R1   |   32.558 |   32.636 |   32.651 |   32.964 |   32.647 |   32.648 |   32.518 |   32.948 |   33.097 |   33.056 |   32.655 |   35.425 ||   +0.24   +0.28   +1.25   +0.27   +0.28   -0.12   +1.20   +1.66   +1.53   +0.30   +8.81
R2   |   32.549 |   32.195 |   32.652 |   33.085 |   32.545 |   32.524 |   32.513 |   33.026 |   30.502 |   31.193 |   32.480 |   36.163 ||   -1.09   +0.32   +1.65   -0.01   -0.08   -0.11   +1.46   -6.29   -4.17   -0.21  +11.10
R3   |   32.501 |   32.393 |   32.712 |   33.161 |   32.543 |   32.470 |   32.557 |   33.116 |   29.747 |   29.984 |   31.466 |   36.284 ||   -0.33   +0.65   +2.03   +0.13   -0.09   +0.17   +1.89   -8.47   -7.74   -3.18  +11.64
R4   |   32.630 |   32.012 |   32.665 |   31.196 |   32.503 |   32.377 |   32.040 |   31.334 |   29.366 |   29.849 |   31.266 |   36.387 ||   -1.89   +0.11   -4.40   -0.39   -0.78   -1.81   -3.97  -10.00   -8.52   -4.18  +11.51
R6   |   30.899 |   30.934 |   30.926 |   30.713 |   30.953 |   30.928 |   30.907 |   30.672 |   28.599 |   28.908 |   30.871 |   36.432 ||   +0.12   +0.09   -0.60   +0.18   +0.10   +0.03   -0.73   -7.44   -6.44   -0.09  +17.91
=== process order2.1
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   33.139 |   31.108 |   28.713 |   29.376 |   29.943 |   30.144 |   30.219 |   29.908 |   29.993 |   33.094 |   33.052 |   33.072 ||   -6.13  -13.36  -11.36   -9.64   -9.04   -8.81   -9.75   -9.49   -0.14   -0.26   -0.20
B    |   70.505 |   69.353 |   67.197 |   68.101 |   68.058 |   68.072 |   68.091 |   67.874 |   67.817 |   70.481 |   70.320 |   70.515 ||   -1.63   -4.69   -3.41   -3.47   -3.45   -3.42   -3.73   -3.81   -0.03   -0.26   +0.01
C    |   46.839 |   45.266 |   44.303 |   44.333 |   44.936 |   45.127 |   45.197 |   45.021 |   44.990 |   46.809 |   47.007 |   46.953 ||   -3.36   -5.41   -5.35   -4.06   -3.65   -3.50   -3.88   -3.95   -0.06   +0.36   +0.25
D    |   28.196 |   15.206 |   14.556 |   14.582 |   20.656 |   17.577 |   21.255 |   20.988 |   20.999 |   28.409 |   28.375 |   28.283 ||  -46.07  -48.38  -48.28  -26.74  -37.66  -24.62  -25.56  -25.52   +0.76   +0.64   +0.31
E    |   30.354 |   21.019 |   18.140 |   18.489 |   21.039 |   20.984 |   21.243 |   20.997 |   21.008 |   30.385 |   30.307 |   30.414 ||  -30.75  -40.24  -39.09  -30.69  -30.87  -30.02  -30.83  -30.79   +0.10   -0.16   +0.20
F    |   32.498 |   33.033 |   27.778 |   27.548 |   26.567 |   29.014 |   29.114 |   28.709 |   28.833 |   32.579 |   32.763 |   32.532 ||   +1.64  -14.53  -15.23  -18.25  -10.72  -10.41  -11.66  -11.28   +0.25   +0.81   +0.10
R1   |   32.738 |   35.437 |   33.149 |   33.111 |   32.931 |   33.153 |   33.151 |   32.790 |   32.839 |   32.792 |   33.136 |   32.699 ||   +8.25   +1.26   +1.14   +0.59   +1.27   +1.26   +0.16   +0.31   +0.17   +1.22   -0.12
R2   |   32.911 |   36.178 |   33.321 |   31.121 |   30.717 |   31.699 |   31.657 |   32.796 |   32.750 |   32.862 |   33.368 |   32.833 ||   +9.93   +1.25   -5.44   -6.67   -3.68   -3.81   -0.35   -0.49   -0.15   +1.39   -0.24
R3   |   32.925 |   36.282 |   33.482 |   30.159 |   29.991 |   31.231 |   31.308 |   31.533 |   31.566 |   31.617 |   31.673 |   31.456 ||  +10.19   +1.69   -8.40   -8.91   -5.15   -4.91   -4.23   -4.13   -3.97   -3.80   -4.46
R4   |   31.134 |   36.357 |   31.051 |   29.803 |   29.612 |   31.018 |   31.053 |   31.298 |   31.264 |   31.278 |   31.017 |   31.134 ||  +16.77   -0.27   -4.28   -4.89   -0.37   -0.26   +0.53   +0.42   +0.46   -0.38   -0.00
R6   |   30.762 |   36.407 |   30.685 |   28.873 |   28.760 |   30.711 |   30.769 |   30.887 |   30.857 |   30.907 |   30.700 |   30.791 ||  +18.35   -0.25   -6.14   -6.51   -0.17   +0.02   +0.41   +0.31   +0.47   -0.20   +0.09
=== process order2.2
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   33.064 |   31.190 |   28.942 |   29.342 |   29.885 |   30.162 |   30.207 |   29.879 |   29.898 |   33.100 |   33.037 |   33.107 ||   -5.67  -12.47  -11.26   -9.62   -8.78   -8.64   -9.63   -9.58   +0.11   -0.08   +0.13
B    |   70.697 |   69.354 |   67.148 |   68.095 |   67.953 |   68.179 |   68.044 |   67.888 |   67.768 |   70.478 |   70.315 |   70.507 ||   -1.90   -5.02   -3.68   -3.88   -3.56   -3.75   -3.97   -4.14   -0.31   -0.54   -0.27
C    |   46.851 |   45.225 |   44.412 |   44.374 |   44.857 |   45.047 |   45.204 |   45.064 |   45.004 |   46.885 |   47.104 |   46.875 ||   -3.47   -5.21   -5.29   -4.25   -3.85   -3.52   -3.81   -3.94   +0.07   +0.54   +0.05
D    |   28.230 |   15.184 |   14.549 |   14.574 |   20.788 |   17.603 |   21.246 |   20.991 |   20.998 |   28.430 |   28.424 |   28.203 ||  -46.21  -48.46  -48.38  -26.36  -37.65  -24.74  -25.64  -25.62   +0.71   +0.69   -0.10
E    |   30.383 |   21.023 |   18.216 |   18.475 |   21.044 |   21.025 |   21.245 |   21.006 |   21.000 |   30.365 |   30.281 |   30.327 ||  -30.81  -40.04  -39.19  -30.74  -30.80  -30.07  -30.86  -30.88   -0.06   -0.33   -0.18
F    |   32.525 |   33.063 |   27.843 |   27.566 |   26.738 |   28.944 |   29.168 |   28.763 |   28.830 |   32.503 |   32.810 |   32.502 ||   +1.65  -14.39  -15.25  -17.79  -11.01  -10.32  -11.56  -11.36   -0.07   +0.88   -0.07
R1   |   32.795 |   35.478 |   33.163 |   33.081 |   32.989 |   32.726 |   33.155 |   32.831 |   32.795 |   32.819 |   33.108 |   32.747 ||   +8.18   +1.12   +0.87   +0.59   -0.21   +1.10   +0.11   +0.00   +0.07   +0.96   -0.15
R2   |   32.800 |   36.149 |   33.286 |   31.225 |   30.750 |   31.597 |   32.126 |   32.854 |   32.803 |   32.877 |   33.394 |   32.784 ||  +10.21   +1.48   -4.80   -6.25   -3.67   -2.06   +0.16   +0.01   +0.23   +1.81   -0.05
R3   |   32.850 |   36.274 |   33.431 |   30.323 |   29.974 |   31.249 |   31.312 |   31.529 |   31.548 |   31.574 |   31.317 |   32.849 ||  +10.42   +1.77   -7.70   -8.76   -4.87   -4.68   -4.02   -3.96   -3.88   -4.67   -0.00
R4   |   31.138 |   36.353 |   31.076 |   29.733 |   29.574 |   31.029 |   31.085 |   31.276 |   31.243 |   31.271 |   31.041 |   31.133 ||  +16.75   -0.20   -4.51   -5.02   -0.35   -0.17   +0.45   +0.34   +0.43   -0.31   -0.02
R6   |   30.761 |   36.419 |   30.686 |   28.866 |   28.833 |   30.705 |   30.714 |   30.873 |   30.836 |   30.903 |   30.701 |   30.763 ||  +18.39   -0.24   -6.16   -6.27   -0.18   -0.15   +0.36   +0.24   +0.46   -0.19   +0.01
=== process order2.3
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   33.046 |   31.069 |   28.784 |   29.314 |   29.907 |   30.224 |   30.171 |   29.924 |   29.915 |   33.128 |   33.102 |   33.005 ||   -5.98  -12.90  -11.29   -9.50   -8.54   -8.70   -9.45   -9.47   +0.25   +0.17   -0.12
B    |   70.731 |   69.336 |   67.289 |   68.036 |   68.035 |   68.183 |   67.994 |   67.844 |   67.698 |   70.501 |   70.423 |   70.426 ||   -1.97   -4.87   -3.81   -3.81   -3.60   -3.87   -4.08   -4.29   -0.33   -0.43   -0.43
C    |   46.829 |   45.197 |   44.256 |   44.304 |   44.786 |   44.964 |   45.187 |   44.974 |   44.993 |   46.899 |   47.037 |   46.825 ||   -3.49   -5.49   -5.39   -4.36   -3.98   -3.51   -3.96   -3.92   +0.15   +0.44   -0.01
D    |   28.118 |   15.207 |   14.548 |   14.526 |   20.601 |   17.584 |   21.268 |   20.993 |   20.995 |   28.354 |   28.315 |   28.247 ||  -45.92  -48.26  -48.34  -26.74  -37.46  -24.36  -25.34  -25.33   +0.84   +0.70   +0.46
E    |   30.369 |   21.014 |   18.200 |   18.493 |   21.030 |   20.945 |   21.230 |   20.990 |   20.996 |   30.398 |   30.284 |   30.439 ||  -30.81  -40.07  -39.11  -30.75  -31.03  -30.10  -30.88  -30.87   +0.09   -0.28   +0.23
F    |   32.483 |   32.995 |   27.744 |   27.544 |   26.803 |   28.910 |   29.041 |   28.656 |   28.755 |   32.480 |   32.649 |   32.459 ||   +1.57  -14.59  -15.21  -17.49  -11.00  -10.60  -11.78  -11.48   -0.01   +0.51   -0.08
R1   |   32.570 |   35.431 |   33.002 |   33.120 |   32.932 |   32.940 |   32.934 |   32.688 |   32.718 |   32.661 |   33.003 |   32.569 ||   +8.79   +1.33   +1.69   +1.11   +1.14   +1.12   +0.36   +0.45   +0.28   +1.33   -0.00
R2   |   32.419 |   36.168 |   33.067 |   31.329 |   30.840 |   31.611 |   33.059 |   32.566 |   32.608 |   32.710 |   33.144 |   32.425 ||  +11.56   +2.00   -3.36   -4.87   -2.49   +1.97   +0.45   +0.58   +0.90   +2.24   +0.02
R3   |   32.442 |   36.274 |   33.131 |   30.307 |   30.049 |   31.254 |   31.364 |   31.500 |   31.652 |   32.771 |   33.255 |   32.096 ||  +11.81   +2.13   -6.58   -7.37   -3.66   -3.32   -2.90   -2.43   +1.01   +2.51   -1.07
R4   |   32.457 |   36.365 |   31.229 |   29.811 |   29.512 |   31.037 |   31.044 |   31.303 |   31.286 |   31.464 |   31.064 |   31.790 ||  +12.04   -3.78   -8.15   -9.07   -4.37   -4.35   -3.55   -3.61   -3.06   -4.29   -2.05
R6   |   30.894 |   36.419 |   30.678 |   28.857 |   28.825 |   30.706 |   30.703 |   30.947 |   30.963 |   30.941 |   30.691 |   30.861 ||  +17.88   -0.70   -6.59   -6.70   -0.61   -0.62   +0.17   +0.22   +0.15   -0.66   -0.11
=== process order3.1
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   33.100 |   30.218 |   30.129 |   33.160 |   28.850 |   33.019 |   30.940 |   29.858 |   33.379 |   28.947 |   29.999 |   29.916 ||   -8.71   -8.97   +0.18  -12.84   -0.24   -6.52   -9.79   +0.84  -12.54   -9.37   -9.62
B    |   70.767 |   68.058 |   68.099 |   70.464 |   67.388 |   70.252 |   69.068 |   67.780 |   70.477 |   67.260 |   67.984 |   67.722 ||   -3.83   -3.77   -0.43   -4.77   -0.73   -2.40   -4.22   -0.41   -4.96   -3.93   -4.30
C    |   46.957 |   45.189 |   45.181 |   47.020 |   44.273 |   46.934 |   45.093 |   45.070 |   46.874 |   44.340 |   44.933 |   45.079 ||   -3.77   -3.78   +0.13   -5.72   -0.05   -3.97   -4.02   -0.18   -5.57   -4.31   -4.00
D    |   28.235 |   21.236 |   17.488 |   28.143 |   14.520 |   28.412 |   15.109 |   20.989 |   28.405 |   14.554 |   20.735 |   20.792 ||  -24.79  -38.06   -0.33  -48.58   +0.63  -46.49  -25.66   +0.60  -48.45  -26.56  -26.36
E    |   30.358 |   21.245 |   20.917 |   30.361 |   18.261 |   30.277 |   20.684 |   20.997 |   30.365 |   18.152 |   21.036 |   20.865 ||  -30.02  -31.10   +0.01  -39.85   -0.27  -31.86  -30.83   +0.02  -40.21  -30.71  -31.27
F    |   32.499 |   29.194 |   28.887 |   32.514 |   27.660 |   32.773 |   32.603 |   28.738 |   32.549 |   27.831 |   26.574 |   28.967 ||  -10.17  -11.11   +0.05  -14.89   +0.84   +0.32  -11.57   +0.15  -14.36  -18.23  -10.87
R1   |   32.715 |   33.143 |   32.922 |   32.692 |   33.166 |   33.069 |   35.608 |   32.823 |   32.732 |   33.109 |   33.091 |   33.137 ||   +1.31   +0.63   -0.07   +1.38   +1.08   +8.84   +0.33   +0.05   +1.20   +1.15   +1.29
R2   |   31.757 |   32.027 |   32.741 |   32.640 |   30.582 |   31.651 |   36.327 |   32.836 |   32.901 |   32.696 |   30.785 |   31.714 ||   +0.85   +3.10   +2.78   -3.70   -0.33  +14.39   +3.40   +3.60   +2.96   -3.06   -0.13
R3   |   31.336 |   31.271 |   31.537 |   31.355 |   29.874 |   31.211 |   36.385 |   32.549 |   32.950 |   33.004 |   30.074 |   31.286 ||   -0.21   +0.64   +0.06   -4.67   -0.40  +16.11   +3.87   +5.15   +5.32   -4.03   -0.16
R4   |   31.125 |   31.027 |   31.286 |   31.085 |   29.491 |   31.043 |   36.427 |   32.126 |   32.115 |   31.049 |   29.553 |   31.025 ||   -0.32   +0.52   -0.13   -5.25   -0.26  +17.04   +3.22   +3.18   -0.24   -5.05   -0.32
R6   |   30.811 |   30.685 |   30.936 |   30.753 |   28.740 |   30.694 |   36.466 |   30.944 |   30.924 |   30.687 |   28.761 |   30.679 ||   -0.41   +0.41   -0.19   -6.72   -0.38  +18.35   +0.43   +0.37   -0.40   -6.65   -0.43
=== process order3.2
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   32.996 |   30.284 |   30.141 |   33.085 |   28.883 |   32.968 |   31.004 |   29.891 |   33.403 |   28.816 |   29.998 |   29.915 ||   -8.22   -8.65   +0.27  -12.46   -0.08   -6.04   -9.41   +1.23  -12.67   -9.08   -9.34
B    |   70.601 |   68.090 |   68.124 |   70.219 |   67.333 |   70.104 |   68.902 |   67.868 |   70.462 |   67.226 |   68.069 |   67.879 ||   -3.56   -3.51   -0.54   -4.63   -0.70   -2.41   -3.87   -0.20   -4.78   -3.59   -3.86
C    |   46.921 |   45.268 |   45.132 |   46.931 |   44.266 |   46.988 |   45.075 |   44.940 |   46.938 |   44.344 |   44.824 |   45.028 ||   -3.52   -3.81   +0.02   -5.66   +0.14   -3.93   -4.22   +0.04   -5.49   -4.47   -4.04
D    |   28.208 |   21.255 |   17.492 |   28.229 |   14.528 |   28.421 |   15.109 |   20.998 |   28.398 |   14.557 |   20.848 |   20.775 ||  -24.65  -37.99   +0.07  -48.50   +0.76  -46.44  -25.56   +0.67  -48.39  -26.09  -26.35
E    |   30.303 |   21.267 |   20.939 |   30.369 |   18.336 |   30.219 |   20.719 |   21.009 |   30.386 |   18.181 |   21.041 |   20.776 ||  -29.82  -30.90   +0.22  -39.49   -0.28  -31.63  -30.67   +0.27  -40.00  -30.56  -31.44
F    |   32.540 |   29.136 |   28.913 |   32.520 |   27.648 |   32.728 |   32.559 |   28.737 |   32.535 |   27.791 |   26.612 |   28.967 ||  -10.46  -11.15   -0.06  -15.03   +0.58   +0.06  -11.69   -0.02  -14.59  -18.22  -10.98
R1   |   32.734 |   33.093 |   32.836 |   32.711 |   33.130 |   33.136 |   35.709 |   32.775 |   32.807 |   33.119 |   32.912 |   33.153 ||   +1.10   +0.31   -0.07   +1.21   +1.23   +9.09   +0.12   +0.22   +1.18   +0.54   +1.28
R2   |   32.152 |   33.292 |   32.379 |   32.817 |   30.597 |   31.703 |   36.247 |   32.750 |   32.866 |   32.763 |   30.825 |   31.717 ||   +3.55   +0.71   +2.07   -4.84   -1.40  +12.74   +1.86   +2.22   +1.90   -4.13   -1.35
R3   |   31.323 |   31.272 |   31.512 |   31.309 |   29.827 |   31.282 |   36.387 |   32.716 |   32.916 |   31.298 |   30.021 |   31.267 ||   -0.16   +0.60   -0.05   -4.78   -0.13  +16.17   +4.45   +5.08   -0.08   -4.16   -0.18
R4   |   31.049 |   31.026 |   31.267 |   31.039 |   29.486 |   31.047 |   36.430 |   32.202 |   31.368 |   31.047 |   29.566 |   31.000 ||   -0.07   +0.70   -0.03   -5.03   -0.01  +17.33   +3.71   +1.03   -0.01   -4.78   -0.16
R6   |   30.762 |   30.681 |   30.937 |   30.799 |   28.711 |   30.714 |   36.474 |   30.978 |   30.933 |   30.679 |   28.767 |   30.672 ||   -0.26   +0.57   +0.12   -6.67   -0.16  +18.57   +0.70   +0.56   -0.27   -6.48   -0.29
=== process order3.3
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   33.080 |   30.267 |   30.186 |   33.133 |   28.824 |   32.997 |   30.963 |   29.879 |   33.089 |   28.955 |   30.078 |   29.961 ||   -8.50   -8.75   +0.16  -12.87   -0.25   -6.40   -9.68   +0.03  -12.47   -9.07   -9.43
B    |   70.569 |   68.036 |   68.205 |   70.402 |   67.372 |   70.287 |   68.952 |   67.875 |   70.384 |   67.243 |   67.988 |   67.868 ||   -3.59   -3.35   -0.24   -4.53   -0.40   -2.29   -3.82   -0.26   -4.71   -3.66   -3.83
C    |   46.898 |   45.195 |   45.066 |   46.990 |   44.339 |   46.923 |   45.021 |   44.972 |   46.862 |   44.298 |   44.810 |   44.949 ||   -3.63   -3.91   +0.20   -5.46   +0.05   -4.00   -4.11   -0.08   -5.54   -4.45   -4.16
D    |   28.204 |   21.249 |   17.499 |   28.221 |   14.520 |   28.424 |   15.121 |   20.990 |   28.443 |   14.560 |   20.853 |   20.756 ||  -24.66  -37.96   +0.06  -48.52   +0.78  -46.39  -25.58   +0.85  -48.38  -26.06  -26.41
E    |   30.351 |   21.260 |   20.940 |   30.342 |   18.310 |   30.223 |   20.750 |   21.003 |   30.402 |   18.163 |   21.042 |   20.813 ||  -29.95  -31.01   -0.03  -39.67   -0.42  -31.63  -30.80   +0.17  -40.16  -30.67  -31.43
F    |   32.506 |   29.097 |   28.865 |   32.468 |   27.643 |   32.699 |   32.580 |   28.770 |   32.491 |   27.829 |   26.599 |   28.929 ||  -10.49  -11.20   -0.12  -14.96   +0.59   +0.23  -11.49   -0.04  -14.39  -18.17  -11.00
