### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R3   |   26.479 |   26.568 |   26.583 |   26.720 ||   +0.34   +0.39   +0.91
R4   |   26.317 |   26.307 |   26.396 |   26.342 ||   -0.04   +0.30   +0.10
R6   |   26.077 |   26.132 |   26.150 |   26.102 ||   +0.21   +0.28   +0.10
mix  |     t4_0 |     g4_1 |     t4_2 |     g4_3 ||    g4_1%    t4_2%    g4_3%
A    |   23.709 |   24.647 |   23.975 |   24.640 ||   +3.96   +1.12   +3.93
B    |   58.873 |   59.423 |   58.861 |   59.433 ||   +0.93   -0.02   +0.95
C    |   35.626 |   36.202 |   35.637 |   36.164 ||   +1.62   +0.03   +1.51
D    |   12.897 |   17.873 |   12.901 |   17.875 ||  +38.59   +0.03  +38.60
E    |   14.282 |   17.873 |   14.656 |   17.877 ||  +25.14   +2.62  +25.17
F    |   22.285 |   23.886 |   22.446 |   23.906 ||   +7.19   +0.72   +7.27
R1   |   27.182 |   27.256 |   27.324 |   27.618 ||   +0.27   +0.52   +1.61
R2   |   26.744 |   26.824 |   26.786 |   26.745 ||   +0.30   +0.16   +0.01
R3   |   26.480 |   26.537 |   26.549 |   26.489 ||   +0.22   +0.26   +0.03
R4   |   26.318 |   26.382 |   26.357 |   26.628 ||   +0.24   +0.15   +1.17
R6   |   26.085 |   26.144 |   26.074 |   26.359 ||   +0.22   -0.05   +1.05
### p-g4-a4 : g4 a4 g4 a4
mix  |     g4_0 |     a4_1 |     g4_2 |     a4_3 ||    a4_1%    g4_2%    a4_3%
A    |   24.612 |   23.651 |   24.585 |   23.788 ||   -3.91   -0.11   -3.35
B    |   59.384 |   59.750 |   59.359 |   59.786 ||   +0.62   -0.04   +0.68
C    |   36.229 |   36.281 |   36.193 |   36.310 ||   +0.15   -0.10   +0.22
D    |   17.869 |   13.552 |   17.879 |   13.564 ||  -24.16   +0.05  -24.09
E    |   17.869 |   15.527 |   17.865 |   15.510 ||  -13.11   -0.02  -13.20
F    |   23.881 |   23.006 |   23.880 |   23.102 ||   -3.67   -0.01   -3.26
