=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
R3   |   26.609 |   26.525 |   26.546 |   26.515 |   26.500 |   26.556 |   24.219 |   24.198 |   22.301 |   24.827 |   24.849 |   24.950 ||   -0.32   -0.24   -0.35   -0.41   -0.20   -8.98   -9.06  -16.19   -6.70   -6.61   -6.23
R4   |   26.430 |   26.386 |   26.404 |   26.362 |   26.353 |   26.373 |   24.478 |   24.476 |   22.448 |   24.529 |   24.558 |   24.603 ||   -0.16   -0.10   -0.26   -0.29   -0.21   -7.39   -7.39  -15.07   -7.19   -7.08   -6.91
R6   |   26.019 |   26.115 |   26.134 |   26.141 |   26.109 |   26.154 |   24.891 |   24.897 |   22.679 |   23.959 |   23.974 |   24.017 ||   +0.37   +0.44   +0.47   +0.35   +0.52   -4.33   -4.31  -12.83   -7.92   -7.86   -7.69
=== process order2.1
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   28.463 |   22.604 |   24.183 |   23.840 |   22.615 |   21.949 |   22.866 |   23.894 |   28.782 |   29.781 |   28.409 |   28.700 ||  -20.59  -15.04  -16.24  -20.54  -22.89  -19.67  -16.05   +1.12   +4.63   -0.19   +0.83
B    |   61.896 |   59.219 |   59.006 |   59.198 |   59.625 |   58.781 |   58.675 |   58.771 |   62.031 |   62.014 |   61.872 |   61.983 ||   -4.32   -4.67   -4.36   -3.67   -5.03   -5.20   -5.05   +0.22   +0.19   -0.04   +0.14
C    |   37.985 |   36.426 |   35.782 |   35.820 |   37.531 |   36.498 |   35.560 |   35.665 |   38.139 |   37.986 |   38.079 |   38.345 ||   -4.10   -5.80   -5.70   -1.20   -3.91   -6.38   -6.11   +0.41   +0.00   +0.25   +0.95
D    |   23.935 |   12.880 |   12.897 |   12.896 |   12.889 |   12.899 |   12.888 |   12.897 |   24.061 |   23.981 |   23.982 |   23.929 ||  -46.19  -46.12  -46.12  -46.15  -46.11  -46.15  -46.12   +0.53   +0.19   +0.20   -0.02
E    |   25.781 |   14.411 |   14.748 |   14.747 |   14.834 |   14.881 |   14.903 |   14.849 |   25.861 |   25.854 |   25.731 |   25.826 ||  -44.10  -42.80  -42.80  -42.46  -42.28  -42.19  -42.40   +0.31   +0.28   -0.19   +0.18
F    |   27.113 |   21.088 |   20.833 |   20.780 |   21.052 |   22.459 |   22.128 |   22.257 |   27.155 |   27.145 |   27.119 |   27.129 ||  -22.22  -23.16  -23.36  -22.35  -17.17  -18.38  -17.91   +0.15   +0.12   +0.02   +0.06
R1   |   27.421 |   26.411 |   26.110 |   26.121 |   21.536 |   23.038 |   23.001 |   27.235 |   27.243 |   27.180 |   27.253 |   27.273 ||   -3.68   -4.78   -4.74  -21.46  -15.98  -16.12   -0.68   -0.65   -0.88   -0.61   -0.54
R2   |   26.934 |   25.471 |   25.259 |   25.297 |   22.053 |   23.777 |   23.766 |   26.831 |   26.861 |   26.766 |   26.810 |   26.823 ||   -5.43   -6.22   -6.08  -18.12  -11.72  -11.76   -0.38   -0.27   -0.62   -0.46   -0.41
