### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
mix  |     t4_0 |     t4_1 |     t4_2 |     t4_3 ||    t4_1%    t4_2%    t4_3%
A    |   19.115 |   19.135 |   19.044 |   19.114 ||   +0.10   -0.37   -0.01
B    |   49.210 |   49.214 |   49.173 |   49.182 ||   +0.01   -0.08   -0.06
C    |   29.298 |   29.244 |   29.259 |   29.459 ||   -0.18   -0.13   +0.55
D    |   10.927 |   10.917 |   10.926 |   10.919 ||   -0.09   -0.01   -0.08
E    |   12.012 |   12.087 |   12.027 |   12.051 ||   +0.63   +0.13   +0.32
F    |   18.730 |   18.855 |   18.726 |   18.699 ||   +0.67   -0.02   -0.16
R1   |   22.131 |   22.082 |   22.120 |   22.087 ||   -0.22   -0.05   -0.20
R2   |   21.907 |   21.855 |   21.894 |   21.851 ||   -0.24   -0.06   -0.26
R3   |   21.793 |   21.764 |   21.781 |   21.754 ||   -0.13   -0.05   -0.18
R4   |   21.714 |   21.705 |   21.722 |   21.699 ||   -0.04   +0.04   -0.07
R6   |   21.624 |   21.623 |   21.625 |   21.621 ||   -0.00   +0.01   -0.01
### p-t4-t4p8 : t4 t4p8 t4 t4p8
mix  |     t4_0 |   t4p8_1 |     t4_2 |   t4p8_3 ||  t4p8_1%    t4_2%  t4p8_3%
A    |   19.043 |   19.166 |   19.047 |   19.135 ||   +0.64   +0.02   +0.48
B    |   49.192 |   49.170 |   49.153 |   49.155 ||   -0.04   -0.08   -0.07
C    |   29.343 |   29.095 |   29.259 |   29.077 ||   -0.84   -0.28   -0.90
D    |   10.923 |   10.919 |   10.922 |   10.919 ||   -0.04   -0.01   -0.03
E    |   12.043 |   12.033 |   12.050 |   12.052 ||   -0.08   +0.06   +0.07
F    |   18.696 |   17.967 |   18.698 |   17.955 ||   -3.90   +0.01   -3.97
R1   |   22.115 |   22.269 |   22.076 |   22.263 ||   +0.70   -0.18   +0.67
R2   |   21.906 |   21.661 |   21.859 |   21.636 ||   -1.12   -0.21   -1.23
R3   |   21.795 |   21.230 |   21.763 |   21.201 ||   -2.59   -0.14   -2.73
R4   |   21.717 |   20.970 |   21.707 |   20.992 ||   -3.44   -0.05   -3.34
R6   |   21.632 |   20.528 |   21.612 |   20.524 ||   -5.10   -0.09   -5.12
mix  |     t4_0 |   t4p8_1 |     t4_2 |   t4p8_3 ||  t4p8_1%    t4_2%  t4p8_3%
A    |   19.063 |   19.097 |   19.045 |   19.119 ||   +0.18   -0.09   +0.29
B    |   49.172 |   49.139 |   49.131 |   49.156 ||   -0.07   -0.08   -0.03
C    |   29.305 |   29.106 |   29.263 |   29.093 ||   -0.68   -0.14   -0.72
D    |   10.927 |   10.921 |   10.923 |   10.919 ||   -0.06   -0.03   -0.07
E    |   12.036 |   12.026 |   12.046 |   12.053 ||   -0.08   +0.08   +0.14
F    |   18.704 |   17.972 |   18.685 |   17.961 ||   -3.91   -0.10   -3.97
R1   |   22.119 |   22.270 |   22.081 |   22.260 ||   +0.68   -0.17   +0.64
R2   |   21.904 |   21.668 |   21.860 |   21.641 ||   -1.08   -0.20   -1.20
R3   |   21.788 |   21.214 |   21.764 |   21.221 ||   -2.64   -0.11   -2.61
R4   |   21.721 |   20.977 |   21.703 |   20.981 ||   -3.42   -0.08   -3.41
R6   |   21.632 |   20.523 |   21.622 |   20.528 ||   -5.13   -0.05   -5.10
### p-t4p8-t4 : t4p8 t4 t4p8 t4
mix  |   t4p8_0 |     t4_1 |   t4p8_2 |     t4_3 ||    t4_1%  t4p8_2%    t4_3%
A    |   19.055 |   19.133 |   19.010 |   19.084 ||   +0.41   -0.24   +0.15
B    |   49.073 |   49.220 |   49.021 |   49.139 ||   +0.30   -0.11   +0.13
C    |   29.191 |   29.548 |   29.208 |   29.361 ||   +1.22   +0.06   +0.58
D    |   10.923 |   10.924 |   10.921 |   10.921 ||   +0.01   -0.02   -0.02
E    |   12.059 |   12.016 |   11.988 |   12.024 ||   -0.36   -0.59   -0.29
F    |   17.813 |   18.863 |   17.834 |   18.712 ||   +5.89   +0.12   +5.04
R1   |   22.243 |   22.130 |   22.242 |   22.070 ||   -0.50   -0.00   -0.78
R2   |   21.646 |   21.895 |   21.641 |   21.856 ||   +1.15   -0.03   +0.97
R3   |   21.206 |   21.784 |   21.210 |   21.759 ||   +2.73   +0.02   +2.61
R4   |   20.961 |   21.724 |   20.966 |   21.706 ||   +3.64   +0.02   +3.55
R6   |   20.510 |   21.633 |   20.515 |   21.616 ||   +5.47   +0.02   +5.39
mix  |   t4p8_0 |     t4_1 |   t4p8_2 |     t4_3 ||    t4_1%  t4p8_2%    t4_3%
A    |   19.056 |   19.163 |   19.019 |   19.112 ||   +0.56   -0.19   +0.30
B    |   49.068 |   49.202 |   49.052 |   49.167 ||   +0.27   -0.03   +0.20
C    |   29.239 |   29.512 |   29.261 |   29.374 ||   +0.93   +0.08   +0.46
D    |   10.923 |   10.925 |   10.921 |   10.923 ||   +0.01   -0.02   -0.00
E    |   12.053 |   12.017 |   11.995 |   12.048 ||   -0.30   -0.48   -0.04
F    |   17.852 |   18.855 |   17.822 |   18.722 ||   +5.62   -0.17   +4.88
R1   |   22.242 |   22.135 |   22.250 |   22.072 ||   -0.48   +0.04   -0.76
R2   |   21.641 |   21.892 |   21.649 |   21.854 ||   +1.16   +0.04   +0.99
