### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R3   |   24.210 |   24.859 |   24.216 |   24.802 ||   +2.68   +0.03   +2.44
R4   |   24.472 |   24.578 |   24.478 |   24.518 ||   +0.43   +0.02   +0.19
R6   |   24.886 |   24.030 |   24.900 |   23.956 ||   -3.44   +0.05   -3.74
mix  |     t5_0 |   t4p8_1 |     t5_2 |   t4p8_3 ||  t4p8_1%    t5_2%  t4p8_3%
A    |   22.949 |   22.712 |   21.824 |   22.927 ||   -1.03   -4.90   -0.10
B    |   58.637 |   59.056 |   58.578 |   59.201 ||   +0.72   -0.10   +0.96
C    |   35.741 |   35.777 |   35.619 |   35.732 ||   +0.10   -0.34   -0.03
D    |   12.879 |   12.887 |   12.891 |   12.899 ||   +0.06   +0.10   +0.16
E    |   14.823 |   14.780 |   14.845 |   14.763 ||   -0.29   +0.15   -0.40
F    |   22.175 |   20.781 |   22.158 |   20.999 ||   -6.29   -0.08   -5.30
R1   |   22.990 |   26.117 |   22.983 |   26.113 ||  +13.60   -0.03  +13.58
R2   |   23.770 |   25.358 |   23.764 |   25.302 ||   +6.68   -0.02   +6.44
R3   |   24.208 |   24.878 |   24.214 |   24.801 ||   +2.77   +0.03   +2.45
R4   |   24.473 |   24.581 |   24.477 |   24.520 ||   +0.44   +0.02   +0.19
R6   |   24.888 |   24.029 |   24.903 |   23.959 ||   -3.45   +0.06   -3.73
### p-t4p8-t5 : t4p8 t5 t4p8 t5
mix  |   t4p8_0 |     t5_1 |   t4p8_2 |     t5_3 ||    t5_1%  t4p8_2%    t5_3%
A    |   23.953 |   23.017 |   23.961 |   22.946 ||   -3.91   +0.03   -4.20
B    |   59.188 |   58.564 |   59.037 |   58.614 ||   -1.05   -0.25   -0.97
C    |   35.811 |   35.822 |   35.825 |   35.528 ||   +0.03   +0.04   -0.79
D    |   12.900 |   12.878 |   12.884 |   12.891 ||   -0.17   -0.13   -0.07
E    |   14.731 |   14.841 |   14.758 |   14.420 ||   +0.74   +0.18   -2.11
F    |   20.890 |   22.222 |   20.961 |   22.125 ||   +6.38   +0.34   +5.91
R1   |   26.140 |   23.011 |   26.182 |   22.990 ||  -11.97   +0.16  -12.05
R2   |   25.316 |   23.767 |   25.477 |   23.763 ||   -6.12   +0.64   -6.13
R3   |   24.834 |   24.211 |   24.971 |   24.209 ||   -2.51   +0.55   -2.52
R4   |   24.542 |   24.473 |   24.619 |   24.468 ||   -0.28   +0.32   -0.30
R6   |   23.975 |   24.888 |   24.034 |   24.892 ||   +3.81   +0.25   +3.83
mix  |   t4p8_0 |     t5_1 |   t4p8_2 |     t5_3 ||    t5_1%  t4p8_2%    t5_3%
A    |   24.167 |   22.990 |   22.956 |   22.980 ||   -4.87   -5.01   -4.91
B    |   59.202 |   58.617 |   58.992 |   58.598 ||   -0.99   -0.35   -1.02
C    |   35.798 |   35.805 |   35.815 |   35.494 ||   +0.02   +0.05   -0.85
D    |   12.906 |   12.879 |   12.888 |   12.893 ||   -0.21   -0.14   -0.10
E    |   14.716 |   14.857 |   14.768 |   14.864 ||   +0.95   +0.35   +1.00
F    |   20.919 |   22.210 |   20.989 |   22.127 ||   +6.17   +0.33   +5.77
R1   |   26.136 |   23.014 |   26.175 |   22.988 ||  -11.94   +0.15  -12.04
R2   |   25.326 |   23.771 |   25.418 |   23.755 ||   -6.14   +0.36   -6.21
R3   |   24.841 |   24.215 |   24.960 |   24.204 ||   -2.52   +0.48   -2.57
R4   |   24.553 |   24.481 |   24.601 |   24.476 ||   -0.29   +0.20   -0.31
R6   |   23.967 |   24.890 |   24.074 |   24.891 ||   +3.85   +0.45   +3.86
### p-t8-t4p8 : t8 t4p8 t8 t4p8
mix  |     t8_0 |   t4p8_1 |     t8_2 |   t4p8_3 ||  t4p8_1%    t8_2%  t4p8_3%
A    |   22.535 |   22.891 |   22.612 |   23.496 ||   +1.58   +0.35   +4.27
B    |   59.500 |   59.159 |   59.672 |   59.207 ||   -0.57   +0.29   -0.49
C    |   37.344 |   35.762 |   37.923 |   35.809 ||   -4.24   +1.55   -4.11
D    |   12.885 |   12.900 |   12.887 |   12.900 ||   +0.11   +0.01   +0.11
E    |   14.824 |   14.755 |   14.840 |   14.732 ||   -0.47   +0.11   -0.63
F    |   21.171 |   20.859 |   21.110 |   21.062 ||   -1.47   -0.29   -0.51
R1   |   21.541 |   26.227 |   21.551 |   26.115 ||  +21.76   +0.05  +21.24
R2   |   22.096 |   25.421 |   22.049 |   25.293 ||  +15.05   -0.21  +14.47
R3   |   22.291 |   24.906 |   22.279 |   24.819 ||  +11.74   -0.05  +11.34
R4   |   22.435 |   24.606 |   22.421 |   24.529 ||   +9.68   -0.06   +9.33
R6   |   22.649 |   24.023 |   22.648 |   23.969 ||   +6.06   -0.01   +5.83
mix  |     t8_0 |   t4p8_1 |     t8_2 |   t4p8_3 ||  t4p8_1%    t8_2%  t4p8_3%
A    |   22.557 |   22.944 |   22.588 |   24.233 ||   +1.72   +0.14   +7.43
B    |   59.435 |   59.108 |   59.741 |   59.230 ||   -0.55   +0.52   -0.34
C    |   37.352 |   35.784 |   37.914 |   35.804 ||   -4.20   +1.51   -4.14
D    |   12.883 |   12.901 |   12.880 |   12.904 ||   +0.14   -0.02   +0.16
E    |   14.838 |   14.770 |   14.841 |   14.710 ||   -0.45   +0.02   -0.86
F    |   21.137 |   20.878 |   21.105 |   21.057 ||   -1.23   -0.15   -0.38
R1   |   21.547 |   26.222 |   21.527 |   26.114 ||  +21.70   -0.09  +21.20
R2   |   22.091 |   25.413 |   22.045 |   25.301 ||  +15.04   -0.21  +14.53
R3   |   22.303 |   24.917 |   22.279 |   24.832 ||  +11.72   -0.11  +11.34
R4   |   22.436 |   24.608 |   22.420 |   24.523 ||   +9.68   -0.07   +9.30
R6   |   22.652 |   24.006 |   22.660 |   23.971 ||   +5.98   +0.03   +5.82
### p-t4p8-t8 : t4p8 t8 t4p8 t8
mix  |   t4p8_0 |     t8_1 |   t4p8_2 |     t8_3 ||    t8_1%  t4p8_2%    t8_3%
A    |   23.742 |   22.689 |   24.166 |   22.576 ||   -4.44   +1.79   -4.91
B    |   59.197 |   59.673 |   59.078 |   59.468 ||   +0.80   -0.20   +0.46
C    |   35.701 |   37.744 |   35.854 |   37.295 ||   +5.72   +0.43   +4.46
D    |   12.908 |   12.889 |   12.899 |   12.886 ||   -0.15   -0.06   -0.17
E    |   14.710 |   14.837 |   14.748 |   14.838 ||   +0.86   +0.26   +0.87
F    |   20.818 |   21.098 |   20.984 |   21.112 ||   +1.34   +0.80   +1.41
R1   |   26.143 |   21.550 |   26.107 |   21.548 ||  -17.57   -0.14  -17.58
R2   |   25.317 |   22.071 |   25.282 |   22.058 ||  -12.82   -0.14  -12.87
R3   |   24.835 |   22.282 |   24.794 |   22.296 ||  -10.28   -0.17  -10.22
