=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
F    |   32.409 |   27.954 |   27.509 |   27.609 |   27.763 |   27.881 |   27.556 |   27.764 |   32.472 |   32.416 |   32.628 |   32.379 ||  -13.74  -15.12  -14.81  -14.34  -13.97  -14.97  -14.33   +0.20   +0.02   +0.68   -0.09
R1   |   32.609 |   33.035 |   32.940 |   33.013 |   27.935 |   28.189 |   28.111 |   32.660 |   32.866 |   32.642 |   32.729 |   32.536 ||   +1.31   +1.01   +1.24  -14.33  -13.55  -13.79   +0.16   +0.79   +0.10   +0.37   -0.22
R2   |   32.544 |   30.743 |   30.581 |   31.196 |   26.943 |   29.356 |   29.726 |   32.495 |   32.987 |   32.627 |   32.285 |   32.580 ||   -5.53   -6.03   -4.14  -17.21   -9.80   -8.66   -0.15   +1.36   +0.25   -0.80   +0.11
R3   |   32.570 |   29.962 |   29.820 |   30.192 |   27.055 |   29.135 |   28.997 |   32.528 |   33.120 |   32.654 |   32.106 |   32.552 ||   -8.01   -8.44   -7.30  -16.93  -10.55  -10.97   -0.13   +1.69   +0.26   -1.43   -0.05
R4   |   32.564 |   29.445 |   29.375 |   29.755 |   27.150 |   29.343 |   29.216 |   31.296 |   31.239 |   31.280 |   31.914 |   32.657 ||   -9.58   -9.79   -8.63  -16.63   -9.89  -10.28   -3.89   -4.07   -3.94   -2.00   +0.29
R6   |   30.837 |   28.742 |   28.609 |   28.924 |   27.247 |   29.662 |   29.434 |   30.905 |   30.684 |   30.839 |   30.938 |   30.859 ||   -6.79   -7.23   -6.20  -11.64   -3.81   -4.55   +0.22   -0.50   +0.01   +0.33   +0.07
=== process order2.2
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   33.135 |   28.719 |   28.792 |   29.360 |   27.175 |   26.743 |   27.628 |   28.721 |   32.971 |   33.106 |   33.264 |   33.132 ||  -13.33  -13.11  -11.39  -17.99  -19.29  -16.62  -13.32   -0.49   -0.09   +0.39   -0.01
B    |   70.656 |   67.495 |   67.714 |   68.039 |   67.220 |   66.726 |   66.349 |   66.993 |   70.236 |   70.470 |   70.765 |   70.500 ||   -4.47   -4.16   -3.70   -4.86   -5.56   -6.10   -5.18   -0.59   -0.26   +0.15   -0.22
C    |   46.890 |   44.768 |   44.213 |   44.389 |   44.891 |   44.320 |   43.907 |   44.374 |   46.917 |   46.757 |   46.856 |   46.843 ||   -4.53   -5.71   -5.33   -4.26   -5.48   -6.36   -5.37   +0.06   -0.28   -0.07   -0.10
D    |   28.211 |   14.544 |   14.554 |   14.537 |   14.550 |   14.514 |   14.590 |   14.505 |   28.389 |   28.433 |   28.225 |   28.225 ||  -48.45  -48.41  -48.47  -48.43  -48.55  -48.28  -48.58   +0.63   +0.78   +0.05   +0.05
E    |   30.360 |   18.416 |   18.536 |   18.494 |   18.612 |   18.773 |   17.695 |   18.434 |   30.196 |   30.411 |   30.437 |   30.396 ||  -39.34  -38.95  -39.08  -38.70  -38.16  -41.72  -39.28   -0.54   +0.17   +0.25   +0.12
F    |   32.527 |   27.924 |   27.514 |   27.553 |   27.739 |   27.962 |   27.665 |   27.850 |   32.747 |   32.554 |   32.646 |   32.460 ||  -14.15  -15.41  -15.29  -14.72  -14.03  -14.95  -14.38   +0.68   +0.08   +0.37   -0.20
