### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
D    |   12.903 |   12.901 |   12.903 |   12.904 ||   -0.02   +0.00   +0.01
E    |   14.731 |   14.730 |   14.721 |   14.756 ||   -0.01   -0.07   +0.17
F    |   20.914 |   20.976 |   20.976 |   20.879 ||   +0.30   +0.30   -0.17
R1   |   26.152 |   26.123 |   26.141 |   26.138 ||   -0.11   -0.04   -0.05
R2   |   25.323 |   25.286 |   25.290 |   25.342 ||   -0.15   -0.13   +0.07
R3   |   24.822 |   24.795 |   24.812 |   24.839 ||   -0.11   -0.04   +0.07
R4   |   24.542 |   24.506 |   24.518 |   24.540 ||   -0.15   -0.10   -0.01
R6   |   23.965 |   23.943 |   23.958 |   23.977 ||   -0.09   -0.03   +0.05
### AA-s4h : s4h s4h s4h s4h
mix  |    s4h_0 |    s4h_1 |    s4h_2 |    s4h_3 ||   s4h_1%   s4h_2%   s4h_3%
A    |   24.330 |   24.317 |   24.364 |   24.334 ||   -0.06   +0.14   +0.01
B    |   58.977 |   58.997 |   58.927 |   58.816 ||   +0.03   -0.09   -0.27
C    |   35.865 |   35.806 |   35.847 |   35.886 ||   -0.17   -0.05   +0.06
D    |   12.929 |   12.928 |   12.931 |   12.928 ||   -0.01   +0.02   -0.01
E    |   15.448 |   15.421 |   15.423 |   15.418 ||   -0.18   -0.16   -0.20
F    |   22.865 |   22.865 |   22.885 |   22.904 ||   +0.00   +0.09   +0.17
R1   |   27.189 |   27.150 |   27.133 |   27.182 ||   -0.14   -0.21   -0.03
R2   |   26.771 |   26.778 |   26.760 |   26.710 ||   +0.02   -0.04   -0.23
R3   |   26.476 |   26.498 |   26.505 |   26.469 ||   +0.08   +0.11   -0.03
R4   |   26.319 |   26.354 |   26.343 |   26.316 ||   +0.13   +0.09   -0.01
R6   |   26.082 |   26.087 |   26.090 |   26.090 ||   +0.02   +0.03   +0.03
mix  |    s4h_0 |    s4h_1 |    s4h_2 |    s4h_3 ||   s4h_1%   s4h_2%   s4h_3%
A    |   24.354 |   24.360 |   24.328 |   24.331 ||   +0.03   -0.10   -0.09
B    |   58.917 |   58.916 |   58.872 |   58.801 ||   -0.00   -0.08   -0.20
C    |   35.810 |   35.806 |   35.842 |   35.870 ||   -0.01   +0.09   +0.17
D    |   12.928 |   12.929 |   12.930 |   12.928 ||   +0.01   +0.01   +0.00
E    |   15.441 |   15.430 |   15.417 |   15.419 ||   -0.07   -0.15   -0.14
F    |   22.880 |   22.866 |   22.853 |   22.880 ||   -0.06   -0.12   +0.00
R1   |   27.218 |   27.173 |   27.119 |   27.171 ||   -0.17   -0.37   -0.17
R2   |   26.755 |   26.742 |   26.714 |   26.703 ||   -0.05   -0.15   -0.20
R3   |   26.484 |   26.489 |   26.479 |   26.454 ||   +0.02   -0.02   -0.11
R4   |   26.317 |   26.334 |   26.328 |   26.308 ||   +0.07   +0.04   -0.04
R6   |   26.085 |   26.104 |   26.095 |   26.092 ||   +0.07   +0.04   +0.03
### p-t4p8-m4s4h : t4p8 m4s4h t4p8 m4s4h
mix  |   t4p8_0 |  m4s4h_1 |   t4p8_2 |  m4s4h_3 || m4s4h_1%  t4p8_2% m4s4h_3%
A    |   23.060 |   24.668 |   23.952 |   24.465 ||   +6.97   +3.87   +6.09
B    |   59.255 |   59.252 |   59.071 |   59.105 ||   -0.00   -0.31   -0.25
C    |   35.838 |   36.096 |   35.726 |   36.047 ||   +0.72   -0.31   +0.58
D    |   12.906 |   12.933 |   12.898 |   12.931 ||   +0.21   -0.06   +0.19
E    |   14.758 |   15.420 |   14.719 |   15.414 ||   +4.49   -0.26   +4.44
F    |   20.908 |   25.260 |   20.938 |   25.243 ||  +20.82   +0.14  +20.73
R1   |   26.129 |   29.003 |   26.082 |   28.851 ||  +11.00   -0.18  +10.42
R2   |   25.324 |   29.405 |   25.275 |   29.316 ||  +16.11   -0.19  +15.77
R3   |   24.855 |   29.525 |   24.794 |   29.466 ||  +18.79   -0.25  +18.55
R4   |   24.558 |   29.608 |   24.500 |   29.552 ||  +20.56   -0.24  +20.33
R6   |   23.970 |   29.730 |   23.952 |   29.832 ||  +24.03   -0.08  +24.46
mix  |   t4p8_0 |  m4s4h_1 |   t4p8_2 |  m4s4h_3 || m4s4h_1%  t4p8_2% m4s4h_3%
A    |   23.689 |   24.675 |   22.952 |   24.491 ||   +4.16   -3.11   +3.39
B    |   59.230 |   59.220 |   59.092 |   59.109 ||   -0.02   -0.23   -0.20
C    |   35.749 |   36.139 |   35.753 |   35.998 ||   +1.09   +0.01   +0.70
D    |   12.905 |   12.932 |   12.901 |   12.931 ||   +0.21   -0.03   +0.20
E    |   14.752 |   15.413 |   14.727 |   15.416 ||   +4.48   -0.17   +4.50
F    |   20.908 |   25.286 |   20.947 |   25.240 ||  +20.94   +0.19  +20.72
R1   |   26.144 |   29.032 |   26.114 |   28.873 ||  +11.05   -0.12  +10.44
R2   |   25.305 |   29.333 |   25.273 |   29.311 ||  +15.92   -0.13  +15.83
R3   |   24.854 |   29.523 |   24.798 |   29.483 ||  +18.79   -0.23  +18.63
R4   |   24.563 |   29.620 |   24.491 |   29.560 ||  +20.58   -0.29  +20.34
R6   |   23.960 |   29.731 |   23.949 |   30.140 ||  +24.09   -0.05  +25.79
### p-m4s4h-t4p8 : m4s4h t4p8 m4s4h t4p8
mix  |  m4s4h_0 |   t4p8_1 |  m4s4h_2 |   t4p8_3 ||  t4p8_1% m4s4h_2%  t4p8_3%
A    |   24.473 |   24.251 |   24.549 |   24.078 ||   -0.91   +0.31   -1.61
B    |   59.216 |   59.146 |   59.229 |   58.961 ||   -0.12   +0.02   -0.43
C    |   36.001 |   35.903 |   36.020 |   35.705 ||   -0.27   +0.05   -0.82
D    |   12.933 |   12.899 |   12.879 |   12.902 ||   -0.27   -0.42   -0.24
E    |   15.416 |   14.742 |   15.427 |   14.744 ||   -4.37   +0.07   -4.36
F    |   25.248 |   21.119 |   25.305 |   20.830 ||  -16.36   +0.23  -17.50
R1   |   28.854 |   26.118 |   28.825 |   26.078 ||   -9.48   -0.10   -9.62
R2   |   29.296 |   25.277 |   29.296 |   25.280 ||  -13.72   -0.00  -13.71
R3   |   29.454 |   24.803 |   29.456 |   24.802 ||  -15.79   +0.01  -15.79
R4   |   29.548 |   24.516 |   29.539 |   24.521 ||  -17.03   -0.03  -17.01
R6   |   29.729 |   23.962 |   29.814 |   23.944 ||  -19.40   +0.29  -19.46
mix  |  m4s4h_0 |   t4p8_1 |  m4s4h_2 |   t4p8_3 ||  t4p8_1% m4s4h_2%  t4p8_3%
A    |   24.453 |   24.238 |   24.521 |   24.127 ||   -0.88   +0.28   -1.33
B    |   59.259 |   59.180 |   59.293 |   58.976 ||   -0.13   +0.06   -0.48
C    |   35.991 |   35.881 |   36.000 |   35.703 ||   -0.31   +0.02   -0.80
D    |   12.881 |   12.902 |   12.931 |   12.904 ||   +0.16   +0.39   +0.18
E    |   15.423 |   14.755 |   15.416 |   14.748 ||   -4.33   -0.04   -4.38
F    |   25.245 |   21.084 |   25.289 |   20.852 ||  -16.48   +0.18  -17.40
R1   |   28.831 |   26.072 |   28.821 |   26.100 ||   -9.57   -0.04   -9.47
R2   |   29.295 |   25.312 |   29.301 |   25.284 ||  -13.59   +0.02  -13.69
R3   |   29.454 |   24.797 |   29.456 |   24.806 ||  -15.81   +0.01  -15.78
R4   |   29.552 |   24.522 |   29.548 |   24.514 ||  -17.02   -0.02  -17.05
R6   |   29.858 |   23.967 |   29.689 |   23.952 ||  -19.73   -0.57  -19.78
### p-t4p8-m4s4 : t4p8 m4s4 t4p8 m4s4
mix  |   t4p8_0 |   m4s4_1 |   t4p8_2 |   m4s4_3 ||  m4s4_1%  t4p8_2%  m4s4_3%
A    |   24.039 |   26.084 |   22.986 |   26.033 ||   +8.51   -4.38   +8.29
B    |   59.223 |   60.021 |   59.034 |   60.151 ||   +1.35   -0.32   +1.57
C    |   35.760 |   36.509 |   35.663 |   36.455 ||   +2.09   -0.27   +1.94
D    |   12.895 |   12.968 |   12.885 |   12.940 ||   +0.57   -0.07   +0.35
E    |   14.737 |   17.105 |   14.744 |   17.135 ||  +16.07   +0.04  +16.27
F    |   20.866 |   26.644 |   20.936 |   26.623 ||  +27.69   +0.34  +27.59
R1   |   26.135 |   29.978 |   26.130 |   29.792 ||  +14.71   -0.02  +13.99
R2   |   25.306 |   30.554 |   25.341 |   30.475 ||  +20.74   +0.14  +20.43
R3   |   24.835 |   30.741 |   24.841 |   30.666 ||  +23.78   +0.02  +23.48
R4   |   24.558 |   30.851 |   24.556 |   30.776 ||  +25.62   -0.01  +25.32
R6   |   23.974 |   30.906 |   24.025 |   30.865 ||  +28.91   +0.21  +28.74
mix  |   t4p8_0 |   m4s4_1 |   t4p8_2 |   m4s4_3 ||  m4s4_1%  t4p8_2%  m4s4_3%
A    |   23.091 |   26.084 |   22.973 |   26.022 ||  +12.96   -0.51  +12.69
B    |   59.188 |   60.042 |   59.077 |   60.056 ||   +1.44   -0.19   +1.47
C    |   35.773 |   36.515 |   35.656 |   36.427 ||   +2.07   -0.33   +1.83
D    |   12.905 |   12.966 |   12.886 |   12.938 ||   +0.47   -0.15   +0.26
E    |   14.738 |   17.119 |   14.753 |   17.151 ||  +16.15   +0.10  +16.37
F    |   20.928 |   26.659 |   20.927 |   26.630 ||  +27.38   -0.01  +27.24
R1   |   26.143 |   29.991 |   26.117 |   29.802 ||  +14.72   -0.10  +14.00
R2   |   25.329 |   30.574 |   25.340 |   30.477 ||  +20.71   +0.04  +20.32
R3   |   24.848 |   30.731 |   24.857 |   30.663 ||  +23.68   +0.04  +23.40
R4   |   24.561 |   30.853 |   24.566 |   30.780 ||  +25.62   +0.02  +25.32
R6   |   23.983 |   30.898 |   24.037 |   30.853 ||  +28.83   +0.22  +28.65
### p-m4s4-t4p8 : m4s4 t4p8 m4s4 t4p8
mix  |   m4s4_0 |   t4p8_1 |   m4s4_2 |   t4p8_3 ||  t4p8_1%  m4s4_2%  t4p8_3%
A    |   25.846 |   23.008 |   26.094 |   24.109 ||  -10.98   +0.96   -6.72
B    |   60.094 |   58.909 |   60.203 |   59.252 ||   -1.97   +0.18   -1.40
C    |   36.274 |   35.751 |   36.515 |   35.698 ||   -1.44   +0.66   -1.59
D    |   12.976 |   12.884 |   12.951 |   12.897 ||   -0.70   -0.19   -0.60
E    |   17.126 |   14.790 |   17.153 |   14.761 ||  -13.64   +0.15  -13.81
F    |   26.608 |   20.947 |   26.684 |   20.840 ||  -21.27   +0.28  -21.68
R1   |   29.841 |   26.171 |   29.834 |   26.128 ||  -12.30   -0.02  -12.44
R2   |   30.491 |   25.398 |   30.481 |   25.309 ||  -16.70   -0.03  -16.99
R3   |   30.678 |   24.895 |   30.672 |   24.820 ||  -18.85   -0.02  -19.10
R4   |   30.788 |   24.624 |   30.778 |   24.539 ||  -20.02   -0.03  -20.30
R6   |   30.867 |   24.056 |   30.845 |   23.970 ||  -22.07   -0.07  -22.34
mix  |   m4s4_0 |   t4p8_1 |   m4s4_2 |   t4p8_3 ||  t4p8_1%  m4s4_2%  t4p8_3%
A    |   25.921 |   23.027 |   26.088 |   23.036 ||  -11.16   +0.64  -11.13
B    |   60.081 |   58.903 |   60.227 |   59.245 ||   -1.96   +0.24   -1.39
C    |   36.297 |   35.766 |   36.509 |   35.633 ||   -1.46   +0.58   -1.83
D    |   12.974 |   12.884 |   12.936 |   12.900 ||   -0.69   -0.29   -0.57
E    |   17.146 |   14.744 |   17.101 |   14.758 ||  -14.01   -0.26  -13.93
F    |   26.640 |   20.962 |   26.694 |   20.844 ||  -21.31   +0.20  -21.76
R1   |   29.826 |   26.184 |   29.834 |   26.123 ||  -12.21   +0.03  -12.42
R2   |   30.488 |   25.420 |   30.501 |   25.308 ||  -16.62   +0.04  -16.99
R3   |   30.674 |   24.909 |   30.667 |   24.819 ||  -18.79   -0.02  -19.09
R4   |   30.790 |   24.648 |   30.767 |   24.533 ||  -19.95   -0.07  -20.32
R6   |   30.873 |   24.067 |   30.844 |   23.963 ||  -22.05   -0.10  -22.38
### p-m4s4-m4s4h : m4s4 m4s4h m4s4 m4s4h
mix  |   m4s4_0 |  m4s4h_1 |   m4s4_2 |  m4s4h_3 || m4s4h_1%  m4s4_2% m4s4h_3%
A    |   25.762 |   24.620 |   26.077 |   24.538 ||   -4.43   +1.22   -4.75
B    |   60.113 |   59.111 |   60.247 |   59.343 ||   -1.67   +0.22   -1.28
C    |   36.273 |   36.096 |   36.565 |   36.097 ||   -0.49   +0.80   -0.49
D    |   12.973 |   12.921 |   12.938 |   12.932 ||   -0.40   -0.27   -0.31
E    |   17.123 |   15.402 |   17.145 |   15.396 ||  -10.05   +0.13  -10.09
F    |   26.618 |   25.426 |   26.674 |   25.215 ||   -4.48   +0.21   -5.27
R1   |   29.868 |   28.839 |   29.817 |   28.825 ||   -3.45   -0.17   -3.49
R2   |   30.475 |   29.313 |   30.486 |   29.298 ||   -3.81   +0.03   -3.86
R3   |   30.683 |   29.462 |   30.688 |   29.447 ||   -3.98   +0.01   -4.03
R4   |   30.796 |   29.583 |   30.798 |   29.551 ||   -3.94   +0.01   -4.04
R6   |   30.868 |   29.798 |   30.860 |   29.685 ||   -3.46   -0.02   -3.83
mix  |   m4s4_0 |  m4s4h_1 |   m4s4_2 |  m4s4h_3 || m4s4h_1%  m4s4_2% m4s4h_3%
A    |   25.841 |   24.652 |   26.074 |   24.539 ||   -4.60   +0.90   -5.04
B    |   60.097 |   59.104 |   60.190 |   59.323 ||   -1.65   +0.16   -1.29
C    |   36.326 |   36.061 |   36.588 |   36.011 ||   -0.73   +0.72   -0.87
D    |   12.972 |   12.923 |   12.938 |   12.933 ||   -0.38   -0.26   -0.30
E    |   17.116 |   15.400 |   17.139 |   15.394 ||  -10.03   +0.13  -10.06
F    |   26.584 |   25.397 |   26.683 |   25.254 ||   -4.47   +0.37   -5.00
R1   |   29.864 |   28.834 |   29.788 |   28.846 ||   -3.45   -0.25   -3.41
R2   |   30.489 |   29.301 |   30.488 |   29.291 ||   -3.90   -0.00   -3.93
R3   |   30.695 |   29.468 |   30.694 |   29.445 ||   -4.00   -0.00   -4.07
R4   |   30.805 |   29.568 |   30.812 |   29.547 ||   -4.02   +0.02   -4.08
R6   |   30.874 |   30.446 |   30.861 |   30.228 ||   -1.39   -0.04   -2.09
### p-m4s4h-m4s4 : m4s4h m4s4 m4s4h m4s4
mix  |  m4s4h_0 |   m4s4_1 |  m4s4h_2 |   m4s4_3 ||  m4s4_1% m4s4h_2%  m4s4_3%
A    |   24.489 |   25.989 |   24.646 |   26.093 ||   +6.12   +0.64   +6.55
