=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
R3   |   26.612 |   26.540 |   26.490 |   26.525 |   30.692 |   30.669 |   29.438 |   26.502 |   26.493 |   24.808 |   26.509 |   25.688 ||   -0.27   -0.46   -0.33  +15.33  +15.25  +10.62   -0.41   -0.45   -6.78   -0.39   -3.47
R4   |   26.463 |   26.359 |   26.335 |   26.374 |   30.799 |   30.784 |   29.539 |   26.370 |   26.340 |   24.522 |   26.353 |   25.958 ||   -0.39   -0.48   -0.34  +16.38  +16.33  +11.62   -0.35   -0.46   -7.33   -0.41   -1.91
R6   |   26.172 |   26.102 |   26.099 |   26.130 |   30.869 |   30.835 |   29.795 |   26.123 |   26.088 |   23.953 |   26.085 |   26.452 ||   -0.27   -0.28   -0.16  +17.95  +17.82  +13.84   -0.19   -0.32   -8.48   -0.33   +1.07
=== process order2.1
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   28.394 |   22.853 |   23.985 |   24.294 |   24.336 |   25.157 |   24.437 |   25.788 |   26.088 |   28.643 |   28.747 |   28.516 ||  -19.51  -15.53  -14.44  -14.29  -11.40  -13.93   -9.18   -8.12   +0.88   +1.24   +0.43
B    |   61.934 |   59.002 |   58.811 |   59.202 |   58.851 |   59.211 |   59.095 |   60.270 |   60.104 |   61.931 |   62.039 |   61.896 ||   -4.73   -5.04   -4.41   -4.98   -4.40   -4.58   -2.69   -2.95   -0.00   +0.17   -0.06
C    |   37.944 |   36.972 |   35.832 |   35.710 |   35.972 |   36.235 |   36.038 |   36.749 |   36.488 |   38.241 |   38.117 |   38.171 ||   -2.56   -5.56   -5.89   -5.20   -4.50   -5.02   -3.15   -3.84   +0.78   +0.46   +0.60
D    |   23.937 |   12.918 |   12.875 |   12.903 |   12.928 |   12.942 |   12.929 |   12.989 |   12.951 |   23.982 |   23.944 |   23.972 ||  -46.03  -46.21  -46.09  -45.99  -45.93  -45.99  -45.74  -45.89   +0.19   +0.03   +0.15
E    |   25.774 |   14.644 |   14.327 |   14.758 |   15.457 |   17.103 |   15.442 |   17.123 |   17.148 |   25.836 |   25.729 |   25.773 ||  -43.19  -44.41  -42.74  -40.03  -33.64  -40.09  -33.57  -33.47   +0.24   -0.18   -0.00
F    |   27.120 |   23.269 |   22.391 |   21.001 |   22.918 |   23.365 |   25.243 |   26.672 |   26.720 |   27.081 |   27.087 |   27.112 ||  -14.20  -17.44  -22.56  -15.50  -13.85   -6.92   -1.65   -1.48   -0.14   -0.12   -0.03
R1   |   27.434 |   24.293 |   27.276 |   26.106 |   27.224 |   27.216 |   28.837 |   29.825 |   29.787 |   27.192 |   27.267 |   27.224 ||  -11.45   -0.58   -4.84   -0.77   -0.80   +5.11   +8.71   +8.57   -0.88   -0.61   -0.77
R2   |   26.951 |   25.213 |   26.826 |   25.311 |   26.754 |   26.735 |   29.277 |   30.490 |   30.438 |   26.739 |   26.782 |   26.815 ||   -6.45   -0.46   -6.09   -0.73   -0.80   +8.63  +13.13  +12.94   -0.79   -0.63   -0.50
R3   |   26.644 |   25.660 |   26.449 |   24.798 |   26.528 |   26.488 |   29.446 |   30.694 |   30.642 |   26.495 |   26.600 |   26.544 ||   -3.69   -0.73   -6.93   -0.43   -0.58  +10.52  +15.20  +15.01   -0.56   -0.16   -0.37
R4   |   26.442 |   25.952 |   26.361 |   24.513 |   26.344 |   26.345 |   29.551 |   30.800 |   30.750 |   26.335 |   26.399 |   26.398 ||   -1.85   -0.31   -7.30   -0.37   -0.37  +11.76  +16.48  +16.29   -0.41   -0.16   -0.17
R6   |   26.094 |   26.449 |   26.142 |   23.958 |   26.106 |   26.107 |   30.929 |   30.865 |   30.824 |   26.077 |   26.142 |   26.120 ||   +1.36   +0.18   -8.19   +0.04   +0.05  +18.53  +18.28  +18.13   -0.07   +0.18   +0.10
=== process order2.2
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   28.427 |   22.836 |   24.002 |   24.308 |   24.391 |   25.178 |   24.434 |   25.759 |   26.074 |   28.665 |   28.713 |   28.324 ||  -19.67  -15.57  -14.49  -14.20  -11.43  -14.05   -9.39   -8.28   +0.83   +1.01   -0.36
B    |   61.925 |   59.030 |   58.871 |   59.144 |   58.852 |   59.186 |   59.081 |   60.303 |   60.091 |   61.933 |   62.042 |   61.869 ||   -4.68   -4.93   -4.49   -4.96   -4.42   -4.59   -2.62   -2.96   +0.01   +0.19   -0.09
C    |   37.966 |   36.926 |   35.774 |   35.694 |   36.025 |   36.269 |   36.101 |   36.729 |   36.451 |   38.266 |   38.266 |   38.245 ||   -2.74   -5.77   -5.98   -5.11   -4.47   -4.91   -3.26   -3.99   +0.79   +0.79   +0.74
D    |   23.939 |   12.899 |   12.873 |   12.903 |   12.929 |   12.936 |   12.932 |   12.988 |   12.955 |   23.957 |   23.957 |   23.969 ||  -46.12  -46.23  -46.10  -45.99  -45.96  -45.98  -45.74  -45.88   +0.08   +0.08   +0.13
E    |   25.776 |   14.634 |   14.314 |   14.761 |   15.487 |   17.116 |   15.434 |   17.160 |   17.176 |   25.799 |   25.779 |   25.777 ||  -43.23  -44.47  -42.73  -39.92  -33.60  -40.12  -33.42  -33.36   +0.09   +0.01   +0.00
F    |   27.108 |   23.293 |   22.383 |   20.986 |   22.921 |   23.351 |   25.259 |   26.637 |   26.713 |   27.076 |   27.087 |   27.121 ||  -14.07  -17.43  -22.58  -15.45  -13.86   -6.82   -1.74   -1.46   -0.12   -0.08   +0.05
R1   |   27.423 |   24.308 |   27.255 |   26.153 |   27.200 |   27.232 |   28.834 |   29.855 |   29.774 |   27.203 |   27.282 |   27.245 ||  -11.36   -0.62   -4.63   -0.81   -0.70   +5.14   +8.87   +8.57   -0.80   -0.52   -0.65
R2   |   26.948 |   25.197 |   26.813 |   25.300 |   26.846 |   26.758 |   29.271 |   30.487 |   30.434 |   26.739 |   26.844 |   26.869 ||   -6.50   -0.50   -6.12   -0.38   -0.71   +8.62  +13.13  +12.94   -0.78   -0.38   -0.29
R3   |   26.620 |   25.650 |   26.544 |   24.811 |   26.499 |   26.497 |   29.434 |   30.683 |   30.639 |   26.458 |   26.558 |   26.541 ||   -3.65   -0.29   -6.80   -0.46   -0.46  +10.57  +15.26  +15.10   -0.61   -0.23   -0.30
R4   |   26.426 |   25.957 |   26.367 |   24.509 |   26.356 |   26.341 |   29.535 |   30.805 |   30.759 |   26.314 |   26.395 |   26.399 ||   -1.78   -0.22   -7.26   -0.27   -0.32  +11.76  +16.57  +16.39   -0.43   -0.12   -0.10
R6   |   26.119 |   26.422 |   26.125 |   23.949 |   26.080 |   26.105 |   30.365 |   30.858 |   30.833 |   26.091 |   26.130 |   26.145 ||   +1.16   +0.03   -8.31   -0.15   -0.05  +16.25  +18.14  +18.05   -0.11   +0.04   +0.10
=== process order2.3
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   28.504 |   22.822 |   24.003 |   24.309 |   24.345 |   25.314 |   24.460 |   26.034 |   26.037 |   28.698 |   28.552 |   28.525 ||  -19.93  -15.79  -14.72  -14.59  -11.19  -14.19   -8.66   -8.65   +0.68   +0.17   +0.07
B    |   61.916 |   59.014 |   58.864 |   59.194 |   58.865 |   59.175 |   59.114 |   60.283 |   60.109 |   61.945 |   62.075 |   61.896 ||   -4.69   -4.93   -4.40   -4.93   -4.43   -4.53   -2.64   -2.92   +0.05   +0.26   -0.03
C    |   37.967 |   37.028 |   35.811 |   35.697 |   35.976 |   36.259 |   36.147 |   36.769 |   36.414 |   38.399 |   38.367 |   38.214 ||   -2.47   -5.68   -5.98   -5.24   -4.50   -4.79   -3.16   -4.09   +1.14   +1.05   +0.65
