=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
R3   |   21.750 |   21.167 |   21.766 |   21.210 |   21.796 |   21.816 |   24.097 |   24.991 |   24.989 |   21.782 |   21.763 |   21.733 ||   -2.68   +0.07   -2.48   +0.21   +0.30  +10.79  +14.90  +14.89   +0.15   +0.06   -0.08
R4   |   21.687 |   21.379 |   21.705 |   20.966 |   21.726 |   21.732 |   24.133 |   25.016 |   25.007 |   21.730 |   21.704 |   21.679 ||   -1.42   +0.09   -3.32   +0.18   +0.21  +11.28  +15.35  +15.31   +0.20   +0.08   -0.04
R6   |   21.610 |   21.754 |   21.623 |   20.492 |   21.634 |   21.636 |   24.196 |   24.990 |   24.988 |   21.642 |   21.625 |   21.599 ||   +0.67   +0.06   -5.17   +0.11   +0.12  +11.96  +15.64  +15.63   +0.15   +0.06   -0.05
=== process order2.2
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   22.570 |   18.206 |   19.190 |   19.195 |   19.561 |   19.885 |   19.833 |   20.357 |   20.423 |   22.597 |   22.603 |   22.603 ||  -19.33  -14.98  -14.95  -13.33  -11.90  -12.13   -9.80   -9.51   +0.12   +0.15   +0.15
B    |   51.827 |   48.824 |   49.209 |   49.179 |   49.604 |   49.870 |   49.756 |   50.182 |   50.271 |   51.883 |   51.862 |   51.826 ||   -5.80   -5.05   -5.11   -4.29   -3.78   -4.00   -3.17   -3.00   +0.11   +0.07   -0.00
C    |   31.678 |   30.259 |   29.462 |   29.329 |   29.780 |   30.059 |   29.937 |   30.344 |   30.258 |   32.107 |   31.788 |   31.785 ||   -4.48   -6.99   -7.41   -5.99   -5.11   -5.49   -4.21   -4.48   +1.35   +0.35   +0.34
D    |   19.969 |   11.059 |   10.919 |   10.920 |   10.965 |   10.985 |   10.965 |   10.985 |   10.986 |   20.052 |   19.960 |   19.971 ||  -44.62  -45.32  -45.32  -45.09  -44.99  -45.09  -44.99  -44.99   +0.41   -0.04   +0.01
E    |   21.004 |   12.364 |   12.042 |   12.048 |   12.723 |   13.409 |   12.615 |   13.413 |   13.464 |   21.001 |   21.030 |   21.016 ||  -41.13  -42.67  -42.64  -39.43  -36.16  -39.94  -36.14  -35.90   -0.01   +0.12   +0.06
F    |   21.969 |   19.407 |   18.726 |   18.025 |   19.235 |   19.413 |   20.722 |   21.414 |   21.494 |   22.038 |   22.011 |   21.997 ||  -11.66  -14.76  -17.95  -12.44  -11.63   -5.68   -2.52   -2.16   +0.31   +0.19   +0.13
R1   |   22.063 |   19.989 |   22.085 |   22.254 |   22.127 |   22.144 |   23.833 |   24.564 |   24.559 |   22.130 |   22.097 |   22.039 ||   -9.40   +0.10   +0.87   +0.29   +0.37   +8.02  +11.34  +11.32   +0.30   +0.15   -0.11
R2   |   21.837 |   20.801 |   21.856 |   21.641 |   21.910 |   21.916 |   24.048 |   24.952 |   24.964 |   21.895 |   21.860 |   21.832 ||   -4.74   +0.09   -0.90   +0.34   +0.36  +10.13  +14.26  +14.32   +0.27   +0.11   -0.02
R3   |   21.743 |   21.172 |   21.764 |   21.215 |   21.792 |   21.803 |   24.097 |   24.990 |   24.993 |   21.776 |   21.763 |   21.730 ||   -2.63   +0.10   -2.43   +0.23   +0.28  +10.83  +14.93  +14.95   +0.15   +0.09   -0.06
R4   |   21.686 |   21.381 |   21.704 |   20.973 |   21.728 |   21.735 |   24.133 |   25.016 |   25.018 |   21.722 |   21.707 |   21.682 ||   -1.41   +0.08   -3.29   +0.20   +0.23  +11.29  +15.35  +15.37   +0.17   +0.10   -0.02
R6   |   21.605 |   21.760 |   21.626 |   20.499 |   21.636 |   21.638 |   24.202 |   24.996 |   24.990 |   21.631 |   21.620 |   21.606 ||   +0.72   +0.10   -5.12   +0.14   +0.15  +12.02  +15.70  +15.67   +0.12   +0.07   +0.00
=== process order2.3
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   22.551 |   18.210 |   19.201 |   19.226 |   19.593 |   19.878 |   19.858 |   20.358 |   20.429 |   22.590 |   22.599 |   22.591 ||  -19.25  -14.86  -14.74  -13.12  -11.85  -11.95   -9.73   -9.41   +0.17   +0.21   +0.18
B    |   51.830 |   48.790 |   49.230 |   49.189 |   49.596 |   49.845 |   49.764 |   50.156 |   50.295 |   51.867 |   51.890 |   51.807 ||   -5.87   -5.02   -5.09   -4.31   -3.83   -3.99   -3.23   -2.96   +0.07   +0.12   -0.04
C    |   31.714 |   30.252 |   29.409 |   29.331 |   29.815 |   30.026 |   29.901 |   30.294 |   30.271 |   32.138 |   31.839 |   31.810 ||   -4.61   -7.27   -7.51   -5.99   -5.32   -5.72   -4.48   -4.55   +1.34   +0.39   +0.30
D    |   19.968 |   11.060 |   10.916 |   10.922 |   10.966 |   10.987 |   10.964 |   10.987 |   10.983 |   20.054 |   19.970 |   19.967 ||  -44.61  -45.33  -45.30  -45.08  -44.98  -45.09  -44.98  -45.00   +0.43   +0.01   -0.00
E    |   21.001 |   12.371 |   12.020 |   12.047 |   12.732 |   13.435 |   12.616 |   13.417 |   13.479 |   21.006 |   21.031 |   20.990 ||  -41.09  -42.77  -42.63  -39.38  -36.02  -39.93  -36.11  -35.82   +0.03   +0.14   -0.05
F    |   21.978 |   19.417 |   18.729 |   18.011 |   19.211 |   19.431 |   20.734 |   21.436 |   21.486 |   22.044 |   22.008 |   21.989 ||  -11.65  -14.78  -18.05  -12.59  -11.59   -5.66   -2.46   -2.24   +0.30   +0.14   +0.05
R1   |   22.056 |   19.983 |   22.071 |   22.261 |   22.127 |   22.137 |   23.814 |   24.571 |   24.552 |   22.165 |   22.089 |   22.059 ||   -9.40   +0.07   +0.93   +0.32   +0.37   +7.97  +11.41  +11.32   +0.49   +0.15   +0.01
R2   |   21.833 |   20.791 |   21.863 |   21.647 |   21.905 |   21.922 |   24.053 |   24.958 |   24.950 |   21.914 |   21.871 |   21.824 ||   -4.77   +0.14   -0.85   +0.33   +0.41  +10.17  +14.31  +14.28   +0.37   +0.18   -0.04
