=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
R6   |   26.119 |   26.121 |   26.095 |   26.071 |   30.858 |   30.850 |   30.150 |   26.121 |   26.110 |   23.970 |   26.122 |   26.460 ||   +0.01   -0.09   -0.19  +18.14  +18.11  +15.43   +0.01   -0.04   -8.23   +0.01   +1.30
=== process order1.2
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   28.292 |   28.374 |   28.537 |   29.304 |   26.022 |   26.156 |   24.548 |   25.288 |   24.400 |   24.300 |   23.975 |   22.845 ||   +0.29   +0.86   +3.57   -8.03   -7.55  -13.23  -10.62  -13.76  -14.11  -15.26  -19.25
B    |   61.926 |   61.833 |   62.032 |   61.909 |   60.075 |   60.527 |   59.315 |   59.345 |   58.893 |   59.297 |   58.671 |   58.923 ||   -0.15   +0.17   -0.03   -2.99   -2.26   -4.22   -4.17   -4.90   -4.25   -5.26   -4.85
C    |   37.999 |   38.111 |   37.941 |   38.027 |   36.734 |   36.872 |   36.005 |   36.264 |   36.020 |   35.759 |   35.765 |   36.855 ||   +0.30   -0.15   +0.07   -3.33   -2.96   -5.25   -4.56   -5.21   -5.89   -5.88   -3.01
D    |   23.907 |   23.998 |   23.915 |   23.983 |   12.971 |   12.944 |   12.934 |   12.938 |   12.927 |   12.891 |   12.893 |   12.954 ||   +0.38   +0.03   +0.32  -45.74  -45.86  -45.90  -45.88  -45.93  -46.08  -46.07  -45.82
E    |   25.871 |   25.728 |   25.765 |   25.750 |   17.124 |   17.213 |   15.438 |   17.110 |   15.458 |   14.749 |   14.832 |   15.427 ||   -0.55   -0.41   -0.47  -33.81  -33.47  -40.33  -33.86  -40.25  -42.99  -42.67  -40.37
F    |   27.130 |   27.098 |   27.093 |   27.085 |   26.667 |   26.830 |   25.284 |   23.345 |   22.882 |   21.060 |   22.297 |   23.262 ||   -0.12   -0.14   -0.17   -1.71   -1.10   -6.80  -13.95  -15.66  -22.37  -17.82  -14.26
R1   |   27.421 |   27.276 |   27.187 |   27.269 |   29.893 |   29.828 |   28.832 |   27.231 |   27.196 |   26.133 |   27.284 |   24.344 ||   -0.53   -0.85   -0.55   +9.01   +8.78   +5.14   -0.69   -0.82   -4.70   -0.50  -11.22
R2   |   26.947 |   26.795 |   26.754 |   26.829 |   30.507 |   30.478 |   29.286 |   26.762 |   26.715 |   25.292 |   26.779 |   25.238 ||   -0.56   -0.72   -0.44  +13.21  +13.10   +8.68   -0.69   -0.86   -6.14   -0.62   -6.34
R3   |   26.640 |   26.522 |   26.482 |   26.428 |   30.696 |   30.660 |   29.447 |   26.493 |   26.453 |   24.811 |   26.536 |   25.697 ||   -0.44   -0.59   -0.80  +15.22  +15.09  +10.54   -0.55   -0.70   -6.87   -0.39   -3.54
R4   |   26.467 |   26.366 |   26.331 |   26.292 |   30.786 |   30.786 |   29.543 |   26.360 |   26.306 |   24.516 |   26.352 |   25.967 ||   -0.38   -0.52   -0.66  +16.32  +16.32  +11.62   -0.40   -0.61   -7.37   -0.43   -1.89
R6   |   26.105 |   26.106 |   26.103 |   26.050 |   30.859 |   30.850 |   30.956 |   26.126 |   26.100 |   23.967 |   26.114 |   26.445 ||   +0.00   -0.01   -0.21  +18.21  +18.17  +18.58   +0.08   -0.02   -8.19   +0.03   +1.30
=== process order1.3
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   28.507 |   28.603 |   29.797 |   28.595 |   25.985 |   26.124 |   24.583 |   25.270 |   24.365 |   24.324 |   23.939 |   22.543 ||   +0.34   +4.52   +0.31   -8.85   -8.36  -13.76  -11.36  -14.53  -14.67  -16.02  -20.92
B    |   61.915 |   61.932 |   62.016 |   61.887 |   60.026 |   60.584 |   59.344 |   59.328 |   58.961 |   59.295 |   58.687 |   58.967 ||   +0.03   +0.16   -0.04   -3.05   -2.15   -4.15   -4.18   -4.77   -4.23   -5.21   -4.76
C    |   38.001 |   38.153 |   38.009 |   38.056 |   36.806 |   36.890 |   35.923 |   36.235 |   36.003 |   35.766 |   35.752 |   36.894 ||   +0.40   +0.02   +0.15   -3.14   -2.92   -5.47   -4.65   -5.26   -5.88   -5.92   -2.91
D    |   23.915 |   23.989 |   23.922 |   24.001 |   12.981 |   12.945 |   12.930 |   12.940 |   12.929 |   12.903 |   12.900 |   12.957 ||   +0.31   +0.03   +0.36  -45.72  -45.87  -45.93  -45.89  -45.94  -46.05  -46.06  -45.82
E    |   25.815 |   25.689 |   25.757 |   25.760 |   17.148 |   17.191 |   15.436 |   17.124 |   15.471 |   14.754 |   14.813 |   15.435 ||   -0.49   -0.23   -0.21  -33.57  -33.41  -40.20  -33.66  -40.07  -42.85  -42.62  -40.21
F    |   27.104 |   27.101 |   27.081 |   27.117 |   26.673 |   26.826 |   25.279 |   23.321 |   22.888 |   21.104 |   22.289 |   23.283 ||   -0.01   -0.09   +0.05   -1.59   -1.03   -6.73  -13.96  -15.56  -22.14  -17.77  -14.10
R1   |   27.430 |   27.277 |   27.186 |   27.234 |   29.922 |   29.831 |   28.857 |   27.202 |   27.180 |   26.176 |   27.177 |   24.345 ||   -0.56   -0.89   -0.71   +9.09   +8.76   +5.20   -0.83   -0.91   -4.57   -0.92  -11.25
R2   |   26.927 |   26.796 |   26.740 |   26.807 |   30.496 |   30.472 |   29.275 |   26.759 |   26.724 |   25.312 |   26.768 |   25.243 ||   -0.49   -0.70   -0.45  +13.25  +13.16   +8.72   -0.63   -0.75   -6.00   -0.59   -6.26
R3   |   26.637 |   26.513 |   26.479 |   26.431 |   30.695 |   30.663 |   29.430 |   26.520 |   26.480 |   24.846 |   26.495 |   25.698 ||   -0.46   -0.59   -0.77  +15.23  +15.11  +10.49   -0.44   -0.59   -6.72   -0.53   -3.53
R4   |   26.440 |   26.356 |   26.328 |   26.269 |   30.791 |   30.788 |   29.537 |   26.388 |   26.347 |   24.544 |   26.320 |   25.964 ||   -0.32   -0.43   -0.65  +16.45  +16.44  +11.71   -0.20   -0.35   -7.17   -0.45   -1.80
R6   |   25.986 |   26.118 |   26.089 |   26.065 |   30.869 |   30.845 |   30.466 |   26.105 |   26.088 |   23.962 |   26.117 |   26.443 ||   +0.51   +0.40   +0.30  +18.79  +18.70  +17.24   +0.45   +0.39   -7.79   +0.50   +1.76
=== process order2.1
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   28.668 |   22.817 |   23.987 |   24.307 |   24.353 |   25.339 |   24.484 |   26.027 |   26.090 |   28.936 |   28.852 |   28.582 ||  -20.41  -16.33  -15.21  -15.05  -11.61  -14.59   -9.21   -8.99   +0.93   +0.64   -0.30
B    |   61.956 |   58.956 |   58.890 |   59.180 |   58.883 |   59.235 |   59.085 |   60.242 |   60.080 |   61.943 |   62.003 |   61.886 ||   -4.84   -4.95   -4.48   -4.96   -4.39   -4.63   -2.77   -3.03   -0.02   +0.08   -0.11
C    |   37.911 |   36.973 |   35.792 |   35.677 |   36.018 |   36.252 |   36.061 |   36.762 |   36.489 |   38.320 |   38.157 |   38.192 ||   -2.48   -5.59   -5.89   -4.99   -4.38   -4.88   -3.03   -3.75   +1.08   +0.65   +0.74
D    |   23.952 |   12.907 |   12.869 |   12.905 |   12.928 |   12.930 |   12.883 |   12.976 |   12.947 |   23.955 |   23.950 |   23.936 ||  -46.11  -46.27  -46.12  -46.02  -46.02  -46.21  -45.82  -45.95   +0.01   -0.01   -0.06
E    |   25.774 |   14.662 |   14.330 |   14.723 |   15.464 |   17.125 |   15.423 |   17.116 |   17.115 |   25.817 |   25.775 |   25.791 ||  -43.11  -44.40  -42.88  -40.00  -33.56  -40.16  -33.59  -33.59   +0.17   +0.01   +0.07
F    |   27.132 |   23.271 |   22.378 |   21.005 |   22.910 |   23.352 |   25.247 |   26.684 |   26.723 |   27.084 |   27.086 |   27.132 ||  -14.23  -17.52  -22.58  -15.56  -13.93   -6.95   -1.65   -1.51   -0.17   -0.17   +0.00
R1   |   27.419 |   24.306 |   27.253 |   26.119 |   27.192 |   27.202 |   28.836 |   29.844 |   29.856 |   27.188 |   27.238 |   27.197 ||  -11.35   -0.61   -4.74   -0.83   -0.79   +5.17   +8.84   +8.89   -0.84   -0.66   -0.81
R2   |   26.938 |   25.196 |   26.778 |   25.295 |   26.761 |   26.750 |   29.273 |   30.485 |   30.461 |   26.749 |   26.820 |   26.786 ||   -6.47   -0.60   -6.10   -0.66   -0.70   +8.67  +13.16  +13.08   -0.70   -0.44   -0.57
R3   |   26.638 |   25.660 |   26.449 |   24.818 |   26.514 |   26.487 |   29.429 |   30.660 |   30.622 |   26.450 |   26.551 |   26.540 ||   -3.67   -0.71   -6.83   -0.47   -0.57  +10.48  +15.10  +14.96   -0.71   -0.33   -0.37
R4   |   26.452 |   25.979 |   26.365 |   24.505 |   26.362 |   26.349 |   29.538 |   30.797 |   30.753 |   26.329 |   26.416 |   26.395 ||   -1.79   -0.33   -7.36   -0.34   -0.39  +11.66  +16.43  +16.26   -0.46   -0.14   -0.22
R6   |   26.114 |   26.460 |   26.118 |   23.953 |   26.100 |   26.121 |   30.464 |   30.860 |   30.830 |   26.086 |   26.137 |   26.136 ||   +1.33   +0.02   -8.27   -0.05   +0.03  +16.66  +18.18  +18.06   -0.11   +0.09   +0.09
=== process order2.2
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   28.440 |   22.822 |   23.988 |   24.274 |   24.334 |   25.339 |   24.452 |   26.092 |   26.124 |   28.828 |   29.868 |   28.532 ||  -19.76  -15.65  -14.65  -14.44  -10.91  -14.02   -8.26   -8.14   +1.37   +5.02   +0.32
B    |   61.924 |   58.971 |   58.855 |   59.186 |   58.790 |   59.135 |   59.095 |   60.269 |   60.050 |   61.906 |   62.035 |   61.883 ||   -4.77   -4.96   -4.42   -5.06   -4.50   -4.57   -2.67   -3.03   -0.03   +0.18   -0.07
C    |   37.930 |   36.987 |   35.838 |   35.712 |   35.945 |   36.255 |   36.086 |   36.764 |   36.436 |   38.379 |   38.184 |   38.210 ||   -2.49   -5.52   -5.85   -5.23   -4.42   -4.86   -3.07   -3.94   +1.18   +0.67   +0.74
D    |   23.950 |   12.919 |   12.873 |   12.900 |   12.926 |   12.933 |   12.931 |   12.982 |   12.951 |   23.957 |   23.934 |   23.963 ||  -46.06  -46.25  -46.14  -46.03  -46.00  -46.01  -45.79  -45.92   +0.03   -0.07   +0.06
E    |   25.788 |   14.673 |   14.448 |   14.745 |   15.472 |   17.097 |   15.439 |   17.127 |   17.149 |   25.792 |   25.780 |   25.789 ||  -43.10  -43.97  -42.82  -40.00  -33.70  -40.13  -33.59  -33.50   +0.02   -0.03   +0.00
F    |   27.106 |   23.277 |   22.342 |   20.995 |   22.902 |   23.334 |   25.256 |   26.689 |   26.727 |   27.039 |   27.130 |   27.130 ||  -14.13  -17.58  -22.54  -15.51  -13.91   -6.82   -1.54   -1.40   -0.25   +0.09   +0.09
R1   |   27.440 |   24.260 |   27.274 |   26.118 |   27.208 |   27.224 |   28.824 |   29.847 |   29.762 |   27.182 |   27.277 |   27.229 ||  -11.59   -0.60   -4.82   -0.85   -0.79   +5.04   +8.77   +8.46   -0.94   -0.59   -0.77
R2   |   26.948 |   25.203 |   26.798 |   25.300 |   26.744 |   26.772 |   29.279 |   30.477 |   30.475 |   26.716 |   26.821 |   26.817 ||   -6.48   -0.56   -6.12   -0.76   -0.65   +8.65  +13.09  +13.09   -0.86   -0.47   -0.49
R3   |   26.594 |   25.666 |   26.467 |   24.817 |   26.506 |   26.504 |   29.442 |   30.679 |   30.659 |   26.469 |   26.559 |   26.557 ||   -3.49   -0.48   -6.68   -0.33   -0.34  +10.71  +15.36  +15.29   -0.47   -0.13   -0.14
R4   |   26.448 |   25.916 |   26.362 |   24.503 |   26.345 |   26.349 |   29.520 |   30.800 |   30.764 |   26.302 |   26.385 |   26.383 ||   -2.01   -0.32   -7.35   -0.39   -0.37  +11.62  +16.46  +16.32   -0.55   -0.24   -0.25
R6   |   26.105 |   26.460 |   26.082 |   23.955 |   26.085 |   26.111 |   29.893 |   30.854 |   30.832 |   26.079 |   26.129 |   26.133 ||   +1.36   -0.09   -8.23   -0.07   +0.02  +14.51  +18.19  +18.11   -0.10   +0.09   +0.11
=== process order2.3
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   28.475 |   22.832 |   23.979 |   24.283 |   24.351 |   25.350 |   24.445 |   26.061 |   26.127 |   28.564 |   29.725 |   28.525 ||  -19.82  -15.79  -14.72  -14.48  -10.98  -14.15   -8.48   -8.24   +0.31   +4.39   +0.18
B    |   61.899 |   59.042 |   58.818 |   59.175 |   58.826 |   59.141 |   59.101 |   60.224 |   60.070 |   61.939 |   61.973 |   61.883 ||   -4.62   -4.98   -4.40   -4.96   -4.45   -4.52   -2.71   -2.96   +0.06   +0.12   -0.03
C    |   37.999 |   37.003 |   35.854 |   35.638 |   35.958 |   36.271 |   36.093 |   36.775 |   36.473 |   38.400 |   38.287 |   38.214 ||   -2.62   -5.65   -6.21   -5.37   -4.55   -5.02   -3.22   -4.02   +1.05   +0.76   +0.57
D    |   23.962 |   12.921 |   12.874 |   12.905 |   12.927 |   12.939 |   12.932 |   12.974 |   12.949 |   23.946 |   23.925 |   23.938 ||  -46.08  -46.27  -46.14  -46.05  -46.00  -46.03  -45.85  -45.96   -0.06   -0.15   -0.10
E    |   25.776 |   14.641 |   14.281 |   14.743 |   15.475 |   17.108 |   15.442 |   17.109 |   17.159 |   25.775 |   25.749 |   25.763 ||  -43.20  -44.59  -42.80  -39.96  -33.63  -40.09  -33.62  -33.43   -0.00   -0.10   -0.05
F    |   27.102 |   23.274 |   22.362 |   21.007 |   22.897 |   23.329 |   25.261 |   26.694 |   26.714 |   27.086 |   27.097 |   27.119 ||  -14.12  -17.49  -22.49  -15.51  -13.92   -6.79   -1.50   -1.43   -0.06   -0.02   +0.06
R1   |   27.421 |   24.299 |   27.275 |   26.108 |   27.193 |   27.220 |   28.848 |   29.824 |   29.814 |   27.180 |   27.275 |   27.202 ||  -11.38   -0.53   -4.79   -0.83   -0.73   +5.20   +8.77   +8.73   -0.88   -0.53   -0.80
R2   |   26.974 |   25.205 |   26.772 |   25.303 |   26.762 |   26.761 |   29.269 |   30.491 |   30.451 |   26.713 |   26.818 |   26.819 ||   -6.56   -0.75   -6.19   -0.79   -0.79   +8.51  +13.04  +12.89   -0.97   -0.58   -0.58
R3   |   26.577 |   25.622 |   26.425 |   24.821 |   26.490 |   26.482 |   29.420 |   30.683 |   30.659 |   26.478 |   26.577 |   26.537 ||   -3.59   -0.57   -6.61   -0.33   -0.36  +10.70  +15.45  +15.36   -0.37   -0.00   -0.15
R4   |   26.466 |   25.930 |   26.363 |   24.512 |   26.340 |   26.349 |   29.537 |   30.795 |   30.754 |   26.335 |   26.405 |   26.385 ||   -2.02   -0.39   -7.38   -0.47   -0.44  +11.60  +16.36  +16.20   -0.49   -0.23   -0.31
R6   |   26.160 |   26.421 |   26.067 |   23.946 |   26.081 |   26.111 |   29.785 |   30.851 |   30.837 |   26.074 |   26.146 |   26.139 ||   +1.00   -0.36   -8.46   -0.30   -0.19  +13.86  +17.93  +17.88   -0.33   -0.05   -0.08
=== process order3.1
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   28.432 |   24.616 |   25.242 |   29.798 |   24.261 |   29.550 |   22.823 |   26.118 |   28.788 |   24.027 |   24.381 |   26.074 ||  -13.42  -11.22   +4.80  -14.67   +3.93  -19.73   -8.14   +1.25  -15.49  -14.25   -8.29
B    |   61.904 |   59.384 |   59.405 |   61.855 |   59.123 |   62.072 |   59.028 |   60.112 |   61.851 |   58.890 |   58.833 |   60.184 ||   -4.07   -4.04   -0.08   -4.49   +0.27   -4.65   -2.89   -0.09   -4.87   -4.96   -2.78
C    |   37.958 |   36.070 |   36.327 |   38.345 |   35.894 |   38.125 |   37.023 |   36.623 |   38.250 |   35.996 |   35.872 |   36.679 ||   -4.97   -4.30   +1.02   -5.44   +0.44   -2.46   -3.52   +0.77   -5.17   -5.50   -3.37
D    |   23.951 |   12.923 |   12.954 |   23.928 |   12.898 |   23.942 |   12.956 |   12.953 |   23.915 |   12.883 |   12.928 |   12.990 ||  -46.04  -45.92   -0.10  -46.15   -0.04  -45.91  -45.92   -0.15  -46.21  -46.02  -45.76
E    |   25.869 |   15.454 |   17.105 |   25.787 |   14.733 |   25.807 |   14.630 |   17.137 |   25.780 |   14.252 |   15.461 |   17.151 ||  -40.26  -33.88   -0.32  -43.05   -0.24  -43.45  -33.76   -0.34  -44.91  -40.23  -33.70
F    |   27.129 |   25.437 |   23.272 |   27.064 |   20.806 |   27.108 |   23.270 |   26.727 |   27.115 |   22.399 |   22.880 |   26.621 ||   -6.24  -14.22   -0.24  -23.31   -0.08  -14.22   -1.48   -0.05  -17.44  -15.66   -1.87
R1   |   27.426 |   28.841 |   27.289 |   27.292 |   26.138 |   27.220 |   24.333 |   29.835 |   27.218 |   27.308 |   27.216 |   29.855 ||   +5.16   -0.50   -0.49   -4.70   -0.75  -11.28   +8.78   -0.76   -0.43   -0.77   +8.86
R2   |   26.927 |   29.315 |   26.838 |   26.828 |   25.284 |   26.775 |   25.254 |   30.471 |   26.767 |   26.804 |   26.772 |   30.493 ||   +8.87   -0.33   -0.37   -6.10   -0.56   -6.21  +13.16   -0.60   -0.46   -0.58  +13.24
R3   |   26.631 |   29.481 |   26.547 |   26.567 |   24.825 |   26.492 |   25.696 |   30.687 |   26.537 |   26.552 |   26.498 |   30.676 ||  +10.70   -0.31   -0.24   -6.78   -0.52   -3.51  +15.23   -0.35   -0.30   -0.50  +15.19
R4   |   26.423 |   29.590 |   26.375 |   26.404 |   24.530 |   26.328 |   25.960 |   30.800 |   26.344 |   26.390 |   26.345 |   30.802 ||  +11.98   -0.18   -0.07   -7.17   -0.36   -1.76  +16.56   -0.30   -0.13   -0.30  +16.57
R6   |   26.104 |   30.887 |   26.125 |   26.131 |   23.973 |   26.112 |   26.444 |   30.858 |   26.124 |   26.134 |   26.108 |   30.872 ||  +18.32   +0.08   +0.11   -8.16   +0.03   +1.31  +18.21   +0.08   +0.12   +0.02  +18.27
=== process order3.2
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   28.333 |   24.634 |   25.234 |   29.811 |   24.236 |   28.821 |   22.800 |   26.100 |   28.693 |   24.004 |   24.403 |   26.051 ||  -13.06  -10.94   +5.22  -14.46   +1.72  -19.53   -7.88   +1.27  -15.28  -13.87   -8.05
B    |   61.908 |   59.398 |   59.481 |   61.840 |   59.165 |   62.121 |   59.042 |   60.115 |   61.891 |   58.842 |   58.892 |   60.139 ||   -4.05   -3.92   -0.11   -4.43   +0.34   -4.63   -2.90   -0.03   -4.95   -4.87   -2.86
C    |   37.971 |   36.033 |   36.263 |   38.334 |   35.888 |   38.076 |   37.020 |   36.653 |   38.131 |   35.880 |   35.932 |   36.666 ||   -5.10   -4.50   +0.96   -5.48   +0.28   -2.50   -3.47   +0.42   -5.51   -5.37   -3.44
D    |   23.942 |   12.920 |   12.951 |   23.914 |   12.894 |   23.939 |   12.953 |   12.952 |   23.917 |   12.880 |   12.930 |   12.990 ||  -46.04  -45.91   -0.12  -46.14   -0.01  -45.90  -45.90   -0.10  -46.20  -45.99  -45.74
E    |   25.926 |   15.434 |   17.102 |   25.729 |   14.719 |   25.828 |   14.614 |   17.154 |   25.779 |   14.247 |   15.463 |   17.130 ||  -40.47  -34.03   -0.76  -43.23   -0.38  -43.63  -33.83   -0.57  -45.05  -40.36  -33.93
F    |   27.106 |   25.441 |   23.244 |   27.102 |   20.799 |   27.130 |   23.269 |   26.737 |   27.089 |   22.377 |   22.902 |   26.642 ||   -6.14  -14.25   -0.01  -23.27   +0.09  -14.15   -1.36   -0.06  -17.44  -15.51   -1.71
R1   |   27.427 |   28.818 |   27.273 |   27.301 |   26.147 |   27.194 |   24.362 |   29.850 |   27.217 |   27.222 |   27.201 |   29.837 ||   +5.07   -0.56   -0.46   -4.66   -0.85  -11.17   +8.84   -0.77   -0.75   -0.82   +8.79
R2   |   26.892 |   29.299 |   26.838 |   26.841 |   25.277 |   26.802 |   25.248 |   30.464 |   26.786 |   26.800 |   26.778 |   30.510 ||   +8.95   -0.20   -0.19   -6.01   -0.33   -6.11  +13.28   -0.39   -0.34   -0.42  +13.46
R3   |   26.584 |   29.470 |   26.555 |   26.584 |   24.821 |   26.491 |   25.703 |   30.698 |   26.541 |   26.555 |   26.506 |   30.687 ||  +10.86   -0.11   -0.00   -6.63   -0.35   -3.31  +15.47   -0.16   -0.11   -0.29  +15.43
R4   |   26.444 |   29.589 |   26.355 |   26.403 |   24.544 |   26.331 |   25.966 |   30.795 |   26.374 |   26.379 |   26.349 |   30.771 ||  +11.89   -0.34   -0.15   -7.19   -0.43   -1.81  +16.45   -0.27   -0.25   -0.36  +16.36
R6   |   26.127 |   30.923 |   26.102 |   26.141 |   23.971 |   26.091 |   26.450 |   30.846 |   26.125 |   26.127 |   26.098 |   30.861 ||  +18.36   -0.10   +0.05   -8.25   -0.14   +1.24  +18.06   -0.01   +0.00   -0.11  +18.12
=== process order3.3
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   28.417 |   24.632 |   25.248 |   29.822 |   24.243 |   29.729 |   22.818 |   26.116 |   28.639 |   24.034 |   24.385 |   26.056 ||  -13.32  -11.15   +4.94  -14.69   +4.62  -19.70   -8.10   +0.78  -15.42  -14.19   -8.31
B    |   61.924 |   59.366 |   59.452 |   61.885 |   59.162 |   62.082 |   58.998 |   60.097 |   61.878 |   58.843 |   58.845 |   60.166 ||   -4.13   -3.99   -0.06   -4.46   +0.25   -4.73   -2.95   -0.07   -4.98   -4.97   -2.84
C    |   37.964 |   36.092 |   36.289 |   38.318 |   35.898 |   38.081 |   37.012 |   36.608 |   38.111 |   35.963 |   35.902 |   36.653 ||   -4.93   -4.41   +0.93   -5.44   +0.31   -2.51   -3.57   +0.39   -5.27   -5.43   -3.45
D    |   23.953 |   12.923 |   12.954 |   23.916 |   12.896 |   23.943 |   12.949 |   12.950 |   23.922 |   12.873 |   12.928 |   12.990 ||  -46.05  -45.92   -0.16  -46.16   -0.04  -45.94  -45.94   -0.13  -46.26  -46.03  -45.77
E    |   25.846 |   15.456 |   17.081 |   25.806 |   14.740 |   25.789 |   14.626 |   17.132 |   25.786 |   14.276 |   15.455 |   17.131 ||  -40.20  -33.91   -0.16  -42.97   -0.22  -43.41  -33.72   -0.23  -44.77  -40.21  -33.72
F    |   27.110 |   25.427 |   23.267 |   27.105 |   20.843 |   27.115 |   23.248 |   26.746 |   27.090 |   22.384 |   22.889 |   26.628 ||   -6.21  -14.18   -0.02  -23.12   +0.02  -14.25   -1.35   -0.07  -17.43  -15.57   -1.78
