### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
### AA-s4h : s4h s4h s4h s4h
mix  |    s4h_0 |    s4h_1 |    s4h_2 |    s4h_3 ||   s4h_1%   s4h_2%   s4h_3%
A    |   30.037 |   30.148 |   30.118 |   30.064 ||   +0.37   +0.27   +0.09
B    |   68.263 |   68.087 |   68.026 |   68.135 ||   -0.26   -0.35   -0.19
C    |   45.012 |   45.078 |   44.919 |   44.894 ||   +0.15   -0.21   -0.26
D    |   15.059 |   15.106 |   15.090 |   15.061 ||   +0.31   +0.21   +0.01
E    |   20.721 |   20.868 |   20.902 |   20.871 ||   +0.71   +0.88   +0.73
F    |   28.905 |   28.790 |   28.791 |   28.728 ||   -0.40   -0.40   -0.61
R1   |   32.755 |   32.859 |   32.839 |   32.677 ||   +0.32   +0.26   -0.24
R2   |   32.944 |   32.990 |   32.972 |   32.968 ||   +0.14   +0.08   +0.07
R3   |   32.987 |   33.012 |   32.488 |   32.988 ||   +0.08   -1.51   +0.00
R4   |   31.246 |   31.348 |   31.233 |   31.235 ||   +0.32   -0.04   -0.04
R6   |   30.853 |   30.839 |   30.838 |   30.727 ||   -0.05   -0.05   -0.41
mix  |    s4h_0 |    s4h_1 |    s4h_2 |    s4h_3 ||   s4h_1%   s4h_2%   s4h_3%
A    |   30.084 |   30.150 |   30.094 |   30.048 ||   +0.22   +0.03   -0.12
B    |   67.997 |   68.198 |   67.976 |   68.158 ||   +0.30   -0.03   +0.24
C    |   45.000 |   45.035 |   44.953 |   45.008 ||   +0.08   -0.10   +0.02
D    |   15.109 |   15.048 |   15.083 |   15.093 ||   -0.40   -0.17   -0.11
E    |   20.927 |   20.770 |   20.951 |   20.834 ||   -0.75   +0.12   -0.44
F    |   28.921 |   28.770 |   28.787 |   28.761 ||   -0.52   -0.46   -0.55
R1   |   32.821 |   32.865 |   32.790 |   32.734 ||   +0.13   -0.10   -0.27
R2   |   32.728 |   32.993 |   32.976 |   32.821 ||   +0.81   +0.76   +0.28
R3   |   32.715 |   33.026 |   32.659 |   32.994 ||   +0.95   -0.17   +0.85
R4   |   31.216 |   31.219 |   31.235 |   31.218 ||   +0.01   +0.06   +0.01
R6   |   30.875 |   30.860 |   30.848 |   30.868 ||   -0.05   -0.09   -0.03
### p-t4p8-m4s4h : t4p8 m4s4h t4p8 m4s4h
mix  |   t4p8_0 |  m4s4h_1 |   t4p8_2 |  m4s4h_3 || m4s4h_1%  t4p8_2% m4s4h_3%
A    |   28.972 |   30.879 |   28.823 |   30.880 ||   +6.58   -0.51   +6.59
B    |   67.666 |   68.793 |   67.706 |   68.948 ||   +1.67   +0.06   +1.90
C    |   44.176 |   45.080 |   44.294 |   45.069 ||   +2.05   +0.27   +2.02
D    |   14.557 |   15.028 |   14.536 |   15.042 ||   +3.24   -0.14   +3.33
E    |   18.502 |   20.591 |   18.458 |   20.588 ||  +11.29   -0.24  +11.28
F    |   27.575 |   32.526 |   27.568 |   32.432 ||  +17.95   -0.03  +17.61
R1   |   33.096 |   35.546 |   33.061 |   35.647 ||   +7.40   -0.10   +7.71
R2   |   30.514 |   36.327 |   30.499 |   36.298 ||  +19.05   -0.05  +18.96
R3   |   29.774 |   36.374 |   29.781 |   36.368 ||  +22.17   +0.03  +22.15
R4   |   29.329 |   36.439 |   29.363 |   36.419 ||  +24.24   +0.11  +24.17
R6   |   28.562 |   36.462 |   28.568 |   36.425 ||  +27.66   +0.02  +27.53
mix  |   t4p8_0 |  m4s4h_1 |   t4p8_2 |  m4s4h_3 || m4s4h_1%  t4p8_2% m4s4h_3%
A    |   28.904 |   30.826 |   28.785 |   30.808 ||   +6.65   -0.41   +6.59
B    |   67.572 |   68.835 |   67.653 |   68.953 ||   +1.87   +0.12   +2.04
C    |   44.239 |   45.081 |   44.328 |   45.036 ||   +1.90   +0.20   +1.80
D    |   14.549 |   15.045 |   14.537 |   15.050 ||   +3.40   -0.09   +3.44
E    |   18.430 |   20.580 |   18.456 |   20.604 ||  +11.67   +0.14  +11.80
F    |   27.518 |   32.503 |   27.524 |   32.496 ||  +18.11   +0.02  +18.09
R1   |   33.063 |   35.614 |   33.118 |   35.620 ||   +7.72   +0.17   +7.74
R2   |   30.505 |   36.247 |   30.510 |   36.281 ||  +18.82   +0.02  +18.94
R3   |   29.793 |   36.370 |   29.783 |   36.372 ||  +22.07   -0.04  +22.08
R4   |   29.354 |   36.422 |   29.353 |   36.400 ||  +24.08   -0.00  +24.00
R6   |   28.576 |   36.470 |   28.585 |   36.468 ||  +27.63   +0.03  +27.62
### p-m4s4h-t4p8 : m4s4h t4p8 m4s4h t4p8
mix  |  m4s4h_0 |   t4p8_1 |  m4s4h_2 |   t4p8_3 ||  t4p8_1% m4s4h_2%  t4p8_3%
A    |   30.838 |   28.993 |   30.744 |   29.285 ||   -5.98   -0.30   -5.03
B    |   68.916 |   67.873 |   68.876 |   67.760 ||   -1.51   -0.06   -1.68
C    |   44.960 |   44.182 |   45.022 |   44.304 ||   -1.73   +0.14   -1.46
D    |   15.028 |   14.562 |   15.027 |   14.547 ||   -3.10   -0.01   -3.21
E    |   20.635 |   18.512 |   20.604 |   18.528 ||  -10.29   -0.15  -10.21
F    |   32.553 |   27.525 |   32.513 |   27.593 ||  -15.44   -0.12  -15.24
R1   |   35.538 |   33.008 |   35.548 |   33.158 ||   -7.12   +0.03   -6.70
R2   |   36.232 |   30.536 |   36.236 |   31.259 ||  -15.72   +0.01  -13.73
R3   |   36.327 |   29.811 |   36.365 |   30.305 ||  -17.94   +0.11  -16.58
R4   |   36.413 |   29.364 |   36.396 |   29.735 ||  -19.36   -0.05  -18.34
R6   |   36.444 |   28.601 |   36.423 |   28.917 ||  -21.52   -0.06  -20.66
mix  |  m4s4h_0 |   t4p8_1 |  m4s4h_2 |   t4p8_3 ||  t4p8_1% m4s4h_2%  t4p8_3%
A    |   30.900 |   29.035 |   30.804 |   29.246 ||   -6.04   -0.31   -5.35
B    |   68.943 |   67.514 |   68.965 |   67.842 ||   -2.07   +0.03   -1.60
C    |   44.885 |   44.250 |   44.995 |   44.197 ||   -1.41   +0.24   -1.53
D    |   15.035 |   14.554 |   15.012 |   14.525 ||   -3.20   -0.15   -3.39
E    |   20.592 |   18.488 |   20.595 |   18.480 ||  -10.22   +0.01  -10.26
F    |   32.573 |   27.527 |   32.511 |   27.506 ||  -15.49   -0.19  -15.56
R1   |   35.650 |   33.035 |   35.613 |   33.084 ||   -7.33   -0.10   -7.20
R2   |   36.356 |   30.605 |   36.342 |   32.267 ||  -15.82   -0.04  -11.25
R3   |   36.460 |   29.822 |   36.407 |   30.200 ||  -18.21   -0.15  -17.17
R4   |   36.452 |   29.370 |   36.430 |   29.682 ||  -19.43   -0.06  -18.57
R6   |   36.443 |   28.609 |   36.450 |   28.733 ||  -21.50   +0.02  -21.16
### p-t4p8-m4s4 : t4p8 m4s4 t4p8 m4s4
mix  |   t4p8_0 |   m4s4_1 |   t4p8_2 |   m4s4_3 ||  m4s4_1%  t4p8_2%  m4s4_3%
A    |   28.962 |   31.699 |   29.195 |   31.836 ||   +9.45   +0.80   +9.92
B    |   67.498 |   69.335 |   67.371 |   69.383 ||   +2.72   -0.19   +2.79
C    |   44.288 |   45.343 |   44.390 |   45.509 ||   +2.38   +0.23   +2.76
D    |   14.542 |   15.236 |   14.514 |   15.110 ||   +4.78   -0.19   +3.91
E    |   18.519 |   21.537 |   18.197 |   21.713 ||  +16.30   -1.73  +17.25
F    |   27.584 |   34.444 |   27.635 |   34.847 ||  +24.87   +0.18  +26.33
