# host=ip-172-31-4-159
# model=
# rounds=160 processes=5 pinned_cpu=3
# date=2026-08-26T15:24:57Z
variant,text_bytes
baseline,5008
compact-fast1-4,8624
full-fast1-7,11848
awslc-8x,4672
awslc-4x,2872
# process=1
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,26.314,26.509,26.306,26.498,15.145,15.158,15.234,15.245,15.219,15.230,28.656,28.966,19.302,19.428
32,27.591,28.033,27.311,27.641,16.661,16.676,16.602,16.631,16.591,16.648,29.469,29.596,21.836,21.948
48,28.689,28.899,28.716,28.994,20.986,21.016,21.010,21.037,20.998,21.052,30.429,30.707,23.668,23.925
64,30.363,30.683,30.224,30.631,21.719,21.740,21.708,21.734,21.738,21.994,32.565,32.644,24.627,25.491
80,31.388,31.551,31.405,31.592,31.366,32.125,31.466,31.788,25.311,25.486,34.151,34.389,35.685,35.894
96,32.600,33.048,32.592,32.918,32.474,32.990,32.462,32.755,27.194,27.431,37.527,38.145,37.742,38.130
112,33.695,33.841,33.648,33.981,33.373,34.018,34.169,34.570,29.278,29.605,39.259,40.488,40.242,40.455
128,31.738,31.851,31.517,31.797,31.364,31.720,31.622,32.032,31.466,31.715,48.858,49.749,41.286,41.598
192,52.122,52.459,51.969,52.681,51.058,51.573,51.198,51.912,51.109,51.519,54.431,54.637,56.798,57.252
256,53.545,53.891,53.657,54.103,53.091,53.790,53.432,54.144,53.300,53.860,69.747,71.212,72.349,73.003
512,96.476,97.361,96.833,97.569,96.667,97.371,96.910,97.456,96.440,97.169,113.292,115.335,135.251,136.544
1024,184.121,185.189,184.010,185.621,184.076,185.637,184.070,185.491,183.221,184.870,200.730,203.309,260.667,263.204
4096,708.409,710.908,708.108,711.313,708.769,711.116,708.295,711.931,704.906,709.474,723.106,731.580,1020.863,1028.751
# process=4
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,26.289,26.482,26.305,26.497,15.144,15.158,15.233,15.245,15.218,15.230,28.762,28.951,19.342,19.534
32,27.602,28.033,27.369,27.612,16.659,16.676,16.595,17.009,16.590,16.811,29.424,29.644,21.845,21.958
48,28.660,28.878,28.762,29.008,20.993,21.012,21.016,21.036,20.998,21.024,30.420,30.691,23.679,23.895
64,30.428,30.722,30.194,30.641,21.715,21.740,21.709,21.737,21.725,21.958,32.464,32.632,24.642,25.585
80,31.302,31.561,31.415,31.633,31.320,32.211,31.233,31.797,25.306,25.499,34.149,34.382,35.688,35.905
96,32.593,33.028,32.526,33.018,32.005,33.181,32.158,32.765,27.195,27.413,37.480,38.178,37.758,38.159
112,33.715,33.838,33.687,33.957,33.415,34.038,33.878,34.554,29.293,29.615,39.239,40.542,40.239,40.463
128,31.664,31.785,31.634,31.820,31.160,31.792,31.624,31.956,31.457,31.899,49.008,49.801,41.288,41.694
192,51.989,52.485,52.049,52.730,50.616,51.658,50.976,51.964,50.419,51.473,54.289,54.632,56.858,57.178
256,53.487,53.963,53.644,54.070,53.256,53.834,53.471,54.057,53.388,53.910,69.692,71.317,72.359,72.989
512,96.468,97.358,97.017,97.588,96.600,97.385,96.786,97.423,96.463,97.188,113.679,115.132,135.217,136.542
1024,184.143,185.348,184.116,185.715,183.840,185.513,183.694,185.549,183.036,184.922,200.667,203.571,260.641,263.116
4096,708.266,710.865,708.231,711.244,708.679,711.172,708.681,712.399,704.929,709.595,724.295,731.284,1022.117,1028.072
# process=5
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,26.319,26.472,26.306,26.503,15.146,15.158,15.232,15.244,15.221,15.230,28.643,28.960,19.345,19.537
32,27.550,27.878,27.362,27.592,16.661,16.677,16.604,17.003,16.591,16.822,29.324,29.624,21.835,21.955
48,28.695,28.914,28.664,28.977,20.997,21.018,21.020,21.040,21.007,21.236,30.379,30.692,23.695,23.801
64,30.499,30.781,30.230,30.606,21.719,21.736,21.698,21.945,21.714,21.983,32.541,32.660,24.639,25.600
80,31.424,31.589,31.402,31.610,31.544,32.118,31.555,31.795,25.310,25.504,34.148,34.359,35.691,35.895
96,32.473,33.038,32.756,32.922,32.463,33.168,32.159,32.818,27.191,27.425,37.135,38.153,37.735,38.129
112,33.696,33.867,33.683,33.984,33.453,33.949,34.081,34.566,29.284,29.626,39.251,40.543,40.200,40.278
128,31.673,31.802,31.559,31.812,31.398,31.786,31.615,31.986,31.443,31.832,49.240,49.799,41.280,41.582
192,51.551,52.530,52.129,52.700,51.089,51.650,51.376,51.921,51.033,51.544,54.426,54.648,56.868,57.193
256,53.554,54.035,53.611,54.107,53.195,53.837,53.550,54.041,53.398,53.972,69.431,71.296,72.379,72.804
512,96.490,97.391,96.995,97.553,96.582,97.385,96.855,97.417,96.484,97.186,113.744,115.327,135.264,136.596
1024,184.139,185.465,183.923,185.649,184.077,185.656,183.940,185.465,183.209,184.964,200.570,203.532,260.606,263.243
4096,708.899,710.930,708.331,711.271,708.414,711.312,708.304,711.867,704.871,710.217,725.774,731.519,1020.498,1028.741
